(Sunscour, Double Pitch Cycle)
(Illusions of Grandeur, Enchantment)
(Illusions of Grandeur, Cumulative upkeep)
(Uncle Istvan, Creature)
(Uncle Istvan, Human)
(Mox Pearl, Artifact)
(Ancient Spring, Land)
(Choice-Cycle, Cycle)
(Choice-Cycle, Fact or Fiction)
(Choice-Cycle, Time Spiral (set))
(Choice-Cycle, White)
(Choice-Cycle, Invasion)
(Choice-Cycle, Red)
(Raven's Crime, Sorcery)
(Raven's Crime, Retrace)
(Ranger of Eos, Soldier)
(Ranger of Eos, Creature)
(Ranger of Eos, Human)
(Split Second, Morph)
(Split Second, Wizards of the Coast)
(Split Second, Time Spiral Block)
(Split Second, Time Spiral (set))
(Split Second, Core Set)
(Rulings:Necropotence, Necropotence)
(Filigree Fracture, Blue)
(Filigree Fracture, Instant)
(Filigree Fracture, Black)
(Filigree Fracture, Sphinx Sovereign)
(Filigree Fracture, Bant)
(Kamahl, Pit Fighter, Haste)
(Kamahl, Pit Fighter, Human)
(Kamahl, Pit Fighter, Creature)
(Kamahl, Pit Fighter, Legendary)
(Kamahl, Pit Fighter, Barbarian)
(Terashi's Verdict, Instant)
(Terashi's Verdict, Arcane)
(Terashi's Verdict, Destroy)
(Fact or Fiction, Instant)
(Fact or Fiction, Invasion)
(Fact or Fiction, Time Spiral (set))
(Fact or Fiction, Choice-Cycle)
(Soul Warden, Cleric)
(Soul Warden, Creature)
(Soul Warden, Human)
(Dauthi Slayer, Soldier)
(Dauthi Slayer, Shadow)
(Dauthi Slayer, Creature)
(Desert, Land)
(Dramatic Entrance, Instant)
(Voracious Hatchling, Creature)
(Voracious Hatchling, Elemental)
(Voracious Hatchling, -1/-1 counters)
(Voracious Hatchling, Lifelink)
(Kathari Screecher, Soldier)
(Kathari Screecher, Creature)
(Kathari Screecher, Bird)
(Kathari Screecher, Flying)
(Kathari Screecher, Unearth)
(Flying Men, Creature)
(Flying Men, Human)
(Assassinate, Sorcery)
(Assassinate, Destroy)
(Viashino, Jund)
(Viashino, Carrion Thrash)
(Viashino, Thorn-Thrash Viashino)
(Viashino, Ravnica)
(Viashino, Skyclaw Thrash)
(Viashino, Goblins)
(Viashino, Dominaria)
(Viashino, Alara)
(Viashino, Thunder-Thrash Elder)
(From the Vault: Exiled, Dragon)
(Necromancer's Covenant, Enchantment)
(Necromancer's Covenant, Zombie)
(Corrupted Conscience, Aura)
(Sunstone, Artifact)
(-1/-1 Counters, Counter (noun))
(Tezzeret, Tezzeret the Seeker)
(Zendikar Block, Rise of the Eldrazi)
(Zendikar Block, Kicker)
(Zendikar Block, Landfall)
(Zendikar Block, Worldwake)
(Zendikar Block, Zendikar)
(Liliana Vess, Planeswalker)
(Shelldock Isle, Land)
(Shelldock Isle, Hideaway)
(White Knight, Protection)
(White Knight, Creature)
(White Knight, Human)
(White Knight, First strike)
(About Face, Instant)
(Broken Ambitions, Counter (verb))
(Broken Ambitions, Clash)
(Broken Ambitions, Instant)
(Ixidor, Dominaria)
(Ixidor, Phage the Untouchable)
(Ixidor, Akroma, Angel of Wrath)
(Ixidor, Jeska)
(Ixidor, Phage)
(Vivid Crag, Land)
(Vivid Crag, Counter (noun))
(Stormcaller's Boon, Creature)
(Stormcaller's Boon, Enchantment)
(Stormcaller's Boon, Cascade)
(Stormcaller's Boon, Sacrifice)
(Children of Korlis, Children of Korlis)
(Red Ward, Enchantment)
(Red Ward, Aura)
(Lightning Angel, Angel)
(Lightning Angel, Creature)
(Lightning Angel, Flying)
(Flashfreeze, Counter (verb))
(Flashfreeze, Instant)
(Absolute Law, Enchantment)
(Wild Growth, Enchantment)
(Wild Growth, Aura)
(Undermine, Counter (verb))
(Undermine, Instant)
(Skargg Goliath, Skarrg Goliath)
(Time Spiral block, Time Spiral Block)
(Blood Lust, Instant)
(Sanity Grinding, Sorcery)
(Goblin King, Creature)
(Goblin King, Mountain)
(Goblin King, Goblin)
(Goblin King, Landwalk)
(Scepter of Fugue, Artifact)
(Tattermunge Duo, Shaman)
(Tattermunge Duo, Creature)
(Tattermunge Duo, Warrior)
(Tattermunge Duo, Goblin)
(Apprentice Wizard, Wizard)
(Apprentice Wizard, Human)
(Apprentice Wizard, Creature)
(Thraximundar, Haste)
(Thraximundar, Zombie)
(Thraximundar, Legendary)
(Thraximundar, Creature)
(Thraximundar, +1/+1 counter)
(Thraximundar, Assassin)
(Voidmage Apprentice, Counter (verb))
(Voidmage Apprentice, Morph)
(Voidmage Apprentice, Wizard)
(Voidmage Apprentice, Human)
(Voidmage Apprentice, Creature)
(Soltari Priest, Cleric)
(Soltari Priest, Protection)
(Soltari Priest, Shadow)
(Soltari Priest, Creature)
(Alluring Siren, Creature)
(Flood Plain, Land)
(Flood Plain, Sacrifice)
(Flood Plain, Island)
(Flood Plain, Plains)
(Craw Giant, Rampage)
(Craw Giant, Giant)
(Craw Giant, Creature)
(Craw Giant, Block)
