(Kishua Zelretch Schweinorg, Kischur Zelretch Schweinorg)
(TYPE-MOON Wiki, TYPE-MOON)
(TYPE-MOON Wiki, Fate/kaleid liner PRISMA☆ILLYA)
(TYPE-MOON Wiki, Fate/stay night)
(TYPE-MOON Wiki, Tohno)
(Black Rider, Rider of Black)
(Melty blood, Melty Blood)
(Demon Saber, Devil Saber)
(Heaven’s Feel, Heaven's Feel)
(Gene Rum, Jean Rum)
(Darius Ainsworth, Julian Ainsworth)
(Darius Ainsworth, Chloe von Einzbern)
(Darius Ainsworth, Erika)
(Darius Ainsworth, Excalibur)
(Darius Ainsworth, Angelica Ainsworth)
(Darius Ainsworth, Zachary Ainsworth)
(Darius Ainsworth, Noble Phantasm)
(Darius Ainsworth, Ainsworth)
(Darius Ainsworth, Class Card)
(Darius Ainsworth, Human)
(Darius Ainsworth, Authoritarian Personalism)
(Darius Ainsworth, Fate)
(Darius Ainsworth, Magus)
(Darius Ainsworth, Apneic Beauty)
(Darius Ainsworth, Fate/kaleid liner PRISMA☆ILLYA)
(Darius Ainsworth, Bazett Fraga McRemitz (Fate/kaleid))
(Executors, Church)
(Touya Takumi, Takumi Touya)
(Black Assassin, Assassin of Black)
(Playable Archer (Fate/Extra), Faker (Magus))
(Playable Archer (Fate/Extra), Fate/Extella)
(Playable Archer (Fate/Extra), Magic Circuit)
(Playable Archer (Fate/Extra), Fate/EXTRA material)
(Playable Archer (Fate/Extra), Saber (Fate/stay night))
(Playable Archer (Fate/Extra), Arco Wada)
(Playable Archer (Fate/Extra), Fate/Extra)
(Playable Archer (Fate/Extra), Magus)
(Playable Archer (Fate/Extra), Archer)
(Playable Archer (Fate/Extra), Hakuno Kishinami)
(Playable Archer (Fate/Extra), Moon)
(Playable Archer (Fate/Extra), Kiritsugu Emiya)
(Playable Archer (Fate/Extra), Holy Grail War)
(Playable Archer (Fate/Extra), Moon Cell Holy Grail War)
(Playable Archer (Fate/Extra), Master)
(Playable Archer (Fate/Extra), Shinji Matou (Fate/Extra))
(Playable Archer (Fate/Extra), Servant)
