removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Aang,1882,25740,13.676939426142402,13.676939426142402,0,2.833345816301883,1034
Fire Nation,1881,25020,13.301435406698564,13.301435406698564,0,2.8523098223733085,1033
Team Avatar,1880,24364,12.959574468085107,12.959574468085107,0,2.9012135429589696,1032
Katara,1879,23758,12.6439595529537,12.6439595529537,0,2.9264104036989256,1031
Sokka,1878,23193,12.349840255591054,12.349840255591054,0,2.944626409890164,1028
Avatar,1877,22641,12.062333510921684,12.062333510921684,0,2.9637392735327444,1027
Zuko,1876,22094,11.777185501066098,11.777185501066098,0,2.9886711358341653,1026
Avatar: The Last Airbender,1875,21604,11.522133333333333,11.522133333333333,0,3.0112692181877656,1020
Hundred Year War,1874,21183,11.303628601921025,11.303628601921025,0,3.025433270801722,1019
Iroh,1873,20784,11.096636412172984,11.096636412172984,0,3.0451170958151503,1018
List of voice actors,1872,20435,10.916132478632479,10.916132478632479,0,3.0451170958151503,1018
Appa,1871,20088,10.73650454302512,10.73650454302512,0,3.055889446341331,1017
List of Avatar: The Last Airbender episodes,1870,19752,10.562566844919786,10.562566844919786,0,3.1467687738466874,961
Azula,1869,19435,10.39860888175495,10.39860888175495,0,3.1550486618004867,960
Fire Lord,1868,19131,10.241434689507495,10.241434689507495,0,3.1571521128788422,958
Heir to the Fire Lord,1867,18849,10.09587573647563,10.09587573647563,0,3.1618497046645944,957
Ozai,1866,18574,9.953912111468382,9.953912111468382,0,3.1702523604021993,956
Avatar Extras (Book Three: Fire),1865,18313,9.819302949061662,9.819302949061662,0,3.157372791487679,944
Firebending,1864,18055,9.686158798283262,9.686158798283262,0,3.175657937692642,943
Military of the Fire Nation,1863,17800,9.554482018250134,9.554482018250134,0,3.1973506975233015,942
Avatar Extras (Book Two: Earth),1862,17563,9.43233082706767,9.43233082706767,0,3.196226900260096,938
Earth,1861,17351,9.32348199892531,9.32348199892531,0,3.207811117496283,937
Earthbending,1860,17140,9.21505376344086,9.21505376344086,0,3.225920974450386,936
Northern Water Tribe,1859,16944,9.114577729962345,9.114577729962345,0,3.234580949298962,934
Southern Water Tribe,1858,16755,9.017761033369215,9.017761033369215,0,3.24361710728434,931
Waterbending,1857,16569,8.922455573505655,8.922455573505655,0,3.2525483927842322,929
Roku,1856,16388,8.829741379310345,8.829741379310345,0,3.2586749168174656,926
Avatar Extras (Book One: Water),1855,16217,8.742318059299192,8.742318059299192,0,3.255391020485405,920
Airbending,1854,16048,8.655879180151025,8.655879180151025,0,3.264165368722752,919
Water Tribe,1853,15880,8.569886670264436,8.569886670264436,0,3.2719257308576952,917
Geography of the World of Avatar,1852,15714,8.48488120950324,8.48488120950324,0,3.2953623499653997,916
Mai,1851,15550,8.400864397622907,8.400864397622907,0,3.3000520083117433,914
Ty Lee,1850,15398,8.323243243243244,8.323243243243244,0,3.306782152533579,913
Air Nomads,1849,15249,8.247160627366144,8.247160627366144,0,3.3114781327633023,912
Suki,1848,15103,8.172619047619047,8.172619047619047,0,3.3152915291529155,910
Zhao,1847,14958,8.098538170005414,8.098538170005414,0,3.3214441488201683,909
Earth monarch,1846,14816,8.026002166847237,8.026002166847237,0,3.325125431664635,908
Dee Bradley Baker,1845,14676,7.954471544715447,7.954471544715447,0,3.3380404068430236,907
Spirit World,1844,14539,7.884490238611714,7.884490238611714,0,3.3479370190138185,906
Hakoda,1843,14402,7.814432989690721,7.814432989690721,0,3.3561629100865398,905
The Legend of Korra,1842,14268,7.745928338762215,7.745928338762215,0,3.3674305384681054,893
Jet,1841,14138,7.679521998913634,7.679521998913634,0,3.3757954072560814,891
Day of Black Sun,1840,14010,7.614130434782608,7.614130434782608,0,3.380140544229724,890
History of the World of Avatar,1839,13883,7.54921152800435,7.54921152800435,0,3.3878370777977076,889
Bending arts,1838,13757,7.484766050054407,7.484766050054407,0,3.394963029545893,888
Dai Li,1837,13634,7.421883505715841,7.421883505715841,0,3.399030643277235,887
Sozin's Comet,1836,13512,7.359477124183006,7.359477124183006,0,3.403323513282575,886
Korra,1835,13394,7.2991825613079016,7.2991825613079016,0,3.4122785489684793,885
Omashu,1834,13277,7.239367502726282,7.239367502726282,0,3.4189927386583174,884
