(Carine le Britannia, Carine ne Britannia)
(I Order you, Suzaku Kururugi, I Order you, Suzaku Kururugi (episode))
(Ahura Mazda, Ahuramazda)
(Shinkiro, Cornelia li Britannia)
(Shinkiro, Kallen Kōzuki)
(Shinkiro, Air Glide System)
(Shinkiro, Knightmare Frame)
(Shinkiro, Slash Harken)
(Shinkiro, Luciano Bradley)
(Shinkiro, Mordred)
(Shinkiro, Factsphere Sensor)
(Shinkiro, Valkyrie Squadron)
(Shinkiro, Landspinner Propulsion System)
(Shinkiro, Holy Britannian Empire)
(Shinkiro, The Black Knights)
(Shinkiro, Damocles)
(Shinkiro, Shen Hu)
(Shinkiro, A Bride in the Vermilion Forbidden City)
(Shinkiro, V.V.)
(Shinkiro, Lancelot Albion)
(Shinkiro, Gun-Ru)
(Shinkiro, Druid System)
(Shinkiro, Rolo Lamperouge)
(Shinkiro, Gino Weinberg)
(Shinkiro, Tristan Divider)
(Shinkiro, Gawain)
(Shinkiro, Betrayal)
(Shinkiro, Chinese Federation)
(Shinkiro, Japan)
(Shinkiro, Geass Order)
(Shinkiro, Zero)
(Shinkiro, Yggdrasil Drive)
(Shinkiro, Galahad)
(Shinkiro, Guren S.E.I.T.E.N. Eight Elements)
(Shinkiro, Hadron Cannon)
(Shinkiro, Siegfried)
(Shinkiro, Empress Tianzi)
(Shinkiro, Absolute Defense System)
(Shinkiro, Lelouch vi Britannia)
(Shinkiro, Energy Filler)
(Shinkiro, The Grip of Damocles)
(Shinkiro, Blaze Luminous)
(Shinkiro, Thought Elevator)
(Atsushi Sawazaki, Gawain)
(Atsushi Sawazaki, Tsao)
(Atsushi Sawazaki, Lancelot)
(Atsushi Sawazaki, Britannia)
(Atsushi Sawazaki, Japanese)
(Atsushi Sawazaki, Suzaku Kururugi)
(Atsushi Sawazaki, Yukimaro Sawazaki)
(Atsushi Sawazaki, Battle of Fukuoka Base)
(Atsushi Sawazaki, Genbu Kururugi)
(Atsushi Sawazaki, Chinese Federation)
(Atsushi Sawazaki, Zero)
(Atsushi Sawazaki, Japan)
