removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Holy Britannian Empire,1323,12978,9.80952380952381,9.80952380952381,9,3.5307418601981864,886
Suzaku Kururugi,1322,12718,9.620272314674736,9.620272314674736,9,3.56460268556912,882
Lelouch vi Britannia,1321,12485,9.45117335352006,9.45117335352006,9,3.5926001304631443,876
C.C.,1320,12270,9.295454545454545,9.295454545454545,9,3.6305590425303635,864
Knightmare Frame,1319,12057,9.141015921152388,9.141015921152388,9,3.7127040643845626,857
Zero,1318,11854,8.993930197268588,8.993930197268588,9,3.7384595368201925,855
Kallen Kōzuki,1317,11674,8.86408504176158,8.86408504176158,9,3.7734777015437393,848
Sutherland,1316,11506,8.743161094224924,8.743161094224924,9,3.8086021900181044,842
Nunnally vi Britannia,1315,11343,8.625855513307984,8.625855513307984,9,3.83678519484717,833
Geass,1314,11183,8.510654490106544,8.510654490106544,9,3.8751518675367955,832
Lelouch,1313,11032,8.402132520944402,8.402132520944402,9,3.8751518675367955,832
Black Knights,1312,10891,8.301067073170731,8.301067073170731,9,3.8790265756165456,831
Cornelia li Britannia,1311,10751,8.200610221205187,8.200610221205187,9,3.8930970724191063,826
Lancelot,1310,10617,8.104580152671756,8.104580152671756,9,3.9102866052377205,818
Jeremiah Gottwald,1309,10494,8.016806722689076,8.016806722689076,8,3.9236017298747927,814
Schneizel el Britannia,1308,10370,7.928134556574924,7.928134556574924,8,3.936190083779701,810
Britannian Military,1307,10254,7.845447589900536,7.845447589900536,7,3.9974922593888875,803
Britannian,1306,10138,7.762633996937213,7.762633996937213,7,3.9974922593888875,803
Suzaku,1305,10028,7.684291187739464,7.684291187739464,7,3.9974922593888875,803
Charles zi Britannia,1304,9918,7.605828220858895,7.605828220858895,7,4.01215985588319,796
Gloucester,1303,9811,7.529547198772065,7.529547198772065,7,4.0543652868209685,795
Euphemia li Britannia,1302,9707,7.455453149001536,7.455453149001536,7,4.095263993839342,790
Ashford Academy,1301,9603,7.381245196003075,7.381245196003075,7,4.114379986210972,781
Rakshata Chawla,1300,9502,7.309230769230769,7.309230769230769,7,4.137835732977814,779
Kyoshiro Tohdoh,1299,9403,7.238645111624327,7.238645111624327,7,4.1550753625495895,777
Shirley Fenette,1298,9309,7.171802773497689,7.171802773497689,6,4.168718873375383,773
Chinese Federation,1297,9215,7.104857363145721,7.104857363145721,6,4.175295524955814,772
The Black Knights,1296,9121,7.0378086419753085,7.0378086419753085,6,4.18188050600502,771
V.V.,1295,9027,6.9706563706563704,6.9706563706563704,6,4.198648136107499,769
Black Rebellion,1294,8934,6.904173106646058,6.904173106646058,6,4.2553237722729245,768
Milly Ashford,1293,8846,6.841453982985305,6.841453982985305,5,4.263867984095292,766
Energy Filler,1292,8759,6.779411764705882,6.779411764705882,5,4.263867984095292,766
United States of Japan,1291,8672,6.71727343144849,6.71727343144849,5,4.309787628571329,758
Europia United,1290,8585,6.655038759689923,6.655038759689923,5,4.359344873501997,751
Slash Harken,1289,8498,6.592707525213344,6.592707525213344,5,4.375156179719126,749
Area 11,1288,8412,6.531055900621118,6.531055900621118,5,4.375156179719126,749
Villetta Nu,1287,8326,6.469308469308469,6.469308469308469,5,4.38743775709028,745
Yggdrasil Drive,1286,8241,6.408242612752722,6.408242612752722,5,4.38743775709028,745
United Federation of Nations Resolution Number One (episode),1285,8157,6.347859922178988,6.347859922178988,5,4.390032033027031,743
Cockpit Ejection System,1284,8075,6.288940809968848,6.288940809968848,4,4.399100072387063,742
The Taste of Humiliation (episode),1283,7993,6.229929851909587,6.229929851909587,4,4.402918480049738,740
Code Geass: Akito the Exiled,1282,7912,6.171606864274571,6.171606864274571,4,4.443415807635749,739
Burai,1281,7831,6.113192818110851,6.113192818110851,4,4.519154474662262,737
Second Assault on Tokyo Settlement,1280,7752,6.05625,6.05625,4,4.533532978408755,736
