(Ian's, Ian Hainsworth)
(Iris Beckley, Danny)
(Iris Beckley, My Two Young Men)
(Iris Beckley, S6)
(Iris Beckley, Rose De Luca)
(Iris Beckley, Chromolume No. 7)
(Iris Beckley, Patrick Logan)
(Iris Beckley, Angie)
(Iris Beckley, Ana)
(Iris Beckley, Fairview)
(Iris Beckley, Gabrielle Solis)
(Iris Beckley, Ellen Crawford)
(Juanita, Juanita Solis)
(Matthew Applewhite, Season 2)
(Matthew Applewhite, Caleb Applewhite)
(Matthew Applewhite, S2)
(Matthew Applewhite, Betty Applewhite)
(Matthew Applewhite, Regular character appearances)
(Matthew Applewhite, 4351 Wisteria Lane)
(Matthew Applewhite, Remember)
(Matthew Applewhite, Mehcad Brooks)
(Matthew Applewhite, Melanie Foster)
(Matthew Applewhite, Goodbye for Now)
(Matthew Applewhite, S1)
(Matthew Applewhite, Danielle Katz)
(Ellen Crawford, Iris Beckley)
(Ellen Crawford, Desperate Housewives)
(Alyson Reed, Desperate Housewives)
(Alyson Reed, Season 8)
(Alyson Reed, Judge Conti)
(Alyson Reed, 8)
(Lucy Lindquist, Lucy)
(Edie's relationships, Edie Britt)
(Me and My Town, Parker Scavo)
(Me and My Town, Celia Solis)
(Me and My Town, Bree Van de Kamp)
(Me and My Town, Shawn Pyfrom)
(Me and My Town, Nicollette Sheridan)
(Me and My Town, Ricardo Antonio Chavira)
(Me and My Town, Tom Scavo)
(Me and My Town, Mary Alice Young)
(Me and My Town, David Fabrizio)
(Me and My Town, Susan Delfino)
(Me and My Town, Charlie Carver)
(Me and My Town, Joshua Logan Moore)
(Me and My Town, Brenda Strong)
(Me and My Town, Orson Hodge)
(Me and My Town, Detective Lyons)
(Me and My Town, Dave Williams)
(Me and My Town, David Warren)
(Me and My Town, James Denton)
(Me and My Town, Kendall Applegate)
(Me and My Town, Gabrielle Solis)
(Me and My Town, Marcia Cross)
(Me and My Town, Andrew Van de Kamp)
(Me and My Town, Neal McDonough)
(Me and My Town, Juanita Solis)
(Me and My Town, Alex Cominis)
(Me and My Town, Carlos Solis)
(Me and My Town, Eva Longoria)
(Me and My Town, Doug Savant)
(Me and My Town, Penny Scavo)
(Me and My Town, Porter Scavo)
(Me and My Town, Katherine Mayfair)
(Me and My Town, Edie Britt)
(Me and My Town, Max Carver)
(Me and My Town, Daniella Baltodano)
(Me and My Town, Todd Grinnell)
(Me and My Town, Dana Delany)
(Me and My Town, Felicity Huffman)
(Me and My Town, Madison De La Garza)
(Me and My Town, Desperate Housewives)
(Me and My Town, Detective Collins)
(Me and My Town, Lynette Scavo)
(Me and My Town, Billy Mayo)
(Me and My Town, Kyle MacLachlan)
(Me and My Town, Preston Scavo)
(Me and My Town, Mike Delfino)
(Me and My Town, Teri Hatcher)
(Me and My Town, Anne Schilling)
(Karl Delfino, Karl Mayer)
(Tony Plana, Alejandro Perez)
(Tony Plana, ABC)
(Tony Plana, Desperate Housewives)
(Tony Plana, 7)
(Tony Plana, Gabrielle's)
(Tony Plana, 8)
(Patrick Logan, I Guess This is Goodbye)
(Patrick Logan, John Barrowman)
(Patrick Logan, The Ballad of Booth)
(Patrick Logan, We All Deserve to Die)
(Patrick Logan, Iris Beckley)
(Patrick Logan, S6)
(Patrick Logan, Danny Bolen)
(Patrick Logan, Angie Bolen)
(Patrick Logan, My Two Young Men)
(Patrick Logan, Recurring character appearances)
(Patrick Logan, A Little Night Music)
(Gwendoline Yeo, Season 2)
(Gwendoline Yeo, Desperate Housewives)
(Gwendoline Yeo, Season Three)
(Gwendoline Yeo, Xiao-Mei)
(Gwendoline Yeo, Season Two)
(Gwendoline Yeo, Season 3)
(8.08, Suspicion Song)
(Karen Stouffer, 4351 Wisteria Lane)
(Karen Stouffer, Gordon Stouffer)
(Wayne, Wayne Davis)
(And Lots of Security, And Lots of Security...)
(Mary Alice's blender, Mary Alice)
(Mary Alice's blender, Martha Huber)
(Mary Alice's blender, Desperate Housewives)
(Mary Alice's blender, Pilot)
(Mary Alice's blender, Guilty)
(Mary Alice's blender, Paul Young)
(Mary Alice's blender, Mary Alice Young)
(Themes, Helen Rowland)
(Themes, Tom)
(Themes, Andrew)
(Themes, Bree Van de Kamp)
(Themes, Epiphany)
(Themes, You Take for Granted)
(Themes, Katherine's)
(Themes, John Rowland)
(Themes, Rex Van de Kamp)
(Themes, 4351)
(Themes, 8)
(Themes, Nora Huntington)
(Themes, Andrew's)
(Themes, Never Judge a Lady by Her Lover)
(Themes, Karl)
(Themes, Eddie)
(Themes, Season 3)
(Themes, Nick Bolen)
(Themes, Mary Alice Young)
(Themes, You're Gonna Love Tomorrow)
(Themes, Bree)
(Themes, List of deaths)
(Themes, Felicia Tilman)
(Themes, Season 6)
(Themes, Lynette)
(Themes, Bree Hodge)
(Themes, Jesse Metcalfe)
(Themes, What's the Good of Being Good?)
(Themes, Paul Young)
(Themes, Juanita)
(Themes, Finishing the Hat)
(Themes, Desperate Housewives)
(Themes, Edie Britt)
(Themes, Crime Doesn't Pay)
(Themes, Orson)
(Themes, Eli Scruggs)
(Themes, Julie's daughter)
(Themes, Betty)
(Themes, If There's Anything I Can't Stand)
(Themes, Katherine)
(Themes, Keith)
(Themes, Angie)
(Themes, Lynette Scavo)
(Themes, Barbara Orlofsky's)
(Themes, Being Alive)
(Themes, The Best Thing That Ever Could Have Happened)
(Themes, Lee's)
(Themes, The Art of Making Art)
(Themes, Ana)
(Themes, Rafael)
(Themes, Lynette's family)
(Themes, Carolyn Bigsby)
(Themes, Andrew Van de Kamp)
(Themes, Bob)
(Themes, Down the Block There's a Riot)
(Themes, 5)
(Themes, Martha)
(Themes, Where Do I Belong?)
(Themes, Porter)
(Themes, Karl Mayer)
(Themes, Angie Bolen)
(Themes, John)
(Themes, Karl Mayer's)
(Themes, Susan Delfino)
(Themes, Pilot)
(Themes, Renee)
(Themes, List of families)
(Themes, List of mysteries)
(Themes, Mike Delfino)
(Themes, Women and Death)
(Themes, Wisteria Lane)
(Themes, Season 4)
(Themes, Julie)
