removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Gilmore Girls,580,5913,10.194827586206896,10.194827586206896,2,2.9375565724630395,489
Lorelai Gilmore,579,5657,9.770293609671848,9.770293609671848,2,2.9768962921136835,484
Rory Gilmore,578,5407,9.354671280276817,9.354671280276817,2,3.0254585831667775,475
Luke Danes,577,5241,9.08318890814558,9.08318890814558,2,3.0495505262682387,471
Stars Hollow,576,5080,8.819444444444445,8.819444444444445,2,3.0931658225962613,464
Season 4,575,4934,8.580869565217391,8.580869565217391,2,3.1243532317285028,462
Season 5,574,4788,8.341463414634147,8.341463414634147,2,3.152933132132415,461
Season 6,573,4644,8.104712041884817,8.104712041884817,2,3.184219001610306,460
Season 3,572,4508,7.881118881118881,7.881118881118881,2,3.218597482661187,459
Season 7,571,4376,7.663747810858144,7.663747810858144,2,3.2669297583442423,458
Season 2,570,4259,7.471929824561403,7.471929824561403,2,3.292803946408691,457
Lane Kim,569,4146,7.286467486818981,7.286467486818981,2,3.325641783690564,451
Emily Gilmore,568,4036,7.105633802816901,7.105633802816901,2,3.3424766299137105,448
Amy Sherman-Palladino,567,3926,6.924162257495591,6.924162257495591,2,3.395326090227827,447
Season 1,566,3825,6.757950530035336,6.757950530035336,2,3.4799119344063163,445
Richard Gilmore,565,3728,6.598230088495575,6.598230088495575,2,3.5207534528963103,441
Daniel Palladino,564,3633,6.441489361702128,6.441489361702128,2,3.5979447090494925,440
Paris Geller,563,3539,6.285968028419183,6.285968028419183,2,3.6742328377095856,436
Sookie St. James,562,3448,6.135231316725979,6.135231316725979,1,3.7069100713242245,432
Logan Huntzberger,561,3356,5.982174688057041,5.982174688057041,1,3.7558302162953328,430
Season 8,560,3270,5.839285714285714,5.839285714285714,1,3.805110987791343,425
Kirk Gleason,559,3186,5.699463327370304,5.699463327370304,1,3.8777117973079966,421
Dean Forester,558,3107,5.568100358422939,5.568100358422939,1,3.9405492975868803,414
Christopher Hayden,557,3033,5.44524236983842,5.44524236983842,1,4.0345294597056425,409
Jess Mariano,556,2960,5.323741007194244,5.323741007194244,1,4.119771421586603,405
Jackson Belleville,555,2912,5.2468468468468465,5.2468468468468465,1,4.165356361938923,404
Michel Gerard,554,2865,5.171480144404332,5.171480144404332,1,4.206434837092732,400
Yale,553,2823,5.104882459312839,5.104882459312839,1,4.241629137724855,397
Zack Van Gerbig,552,2782,5.0398550724637685,5.0398550724637685,1,4.258908950716443,395
Rory and Dean,551,2741,4.974591651542649,4.974591651542649,1,4.258908950716443,395
Babette Dell,550,2701,4.910909090909091,4.910909090909091,1,4.282637214109665,389
Taylor Doose,549,2662,4.848816029143898,4.848816029143898,1,4.317421438664962,386
Will You Be My Lorelai Gilmore?,548,2623,4.786496350364963,4.786496350364963,1,4.348312391209747,384
Miss Patty,547,2586,4.727605118829982,4.727605118829982,1,4.380041500048096,382
Mrs. Kim,546,2550,4.670329670329671,4.670329670329671,1,4.446007498958478,380
Say Something,545,2515,4.614678899082569,4.614678899082569,1,4.471811713191023,378
Chilton Preparatory School,544,2481,4.560661764705882,4.560661764705882,1,4.457280252150348,369
Just Like Gwen and Gavin,543,2447,4.5064456721915285,4.5064456721915285,1,4.482906746474889,367
Come Home,542,2413,4.452029520295203,4.452029520295203,1,4.490892668974861,365
Andrew,541,2380,4.399260628465804,4.399260628465804,1,4.517792186049343,363
"Always a Godmother, Never a God",540,2348,4.348148148148148,4.348148148148148,1,4.535483081067017,362
I Get A Sidekick Out of You,539,2316,4.296846011131725,4.296846011131725,1,4.548638042474607,361
New and Improved Lorelai,538,2284,4.245353159851301,4.245353159851301,1,4.559215413184773,360
I Can't Get Started,537,2252,4.19366852886406,4.19366852886406,1,4.582911875009726,359
Bridesmaids Revisited,536,2221,4.143656716417911,4.143656716417911,1,4.626136488114799,358
Merry Fisticuffs,535,2190,4.093457943925234,4.093457943925234,1,4.6512683725175465,357
Jess and Rory,534,2160,4.044943820224719,4.044943820224719,1,4.6512683725175465,357
