removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Inception (2010 film),199,869,4.366834170854271,4.366834170854271,16,3.556253669994128,131
Ariadne,198,816,4.121212121212121,4.121212121212121,16,3.6189714566929134,128
Saito,197,765,3.883248730964467,3.883248730964467,16,3.717483870967742,125
Arthur,196,723,3.688775510204082,3.688775510204082,16,3.801212848194056,123
Inception: Music from the Motion Picture,195,687,3.523076923076923,3.523076923076923,16,3.942956843754451,119
Dream-Sharing,194,652,3.3608247422680413,3.3608247422680413,16,4.045632333767927,118
Mallorie Cobb,193,620,3.2124352331606216,3.2124352331606216,16,4.099829219065363,114
Dominic Cobb,192,590,3.0729166666666665,3.0729166666666665,16,4.154681467181467,112
The Fischer Inception Job,191,560,2.931937172774869,2.931937172774869,16,4.274719673802243,109
Robert Fischer,190,532,2.8,2.8,16,4.374977958032093,107
Dominick Cobb,189,508,2.687830687830688,2.687830687830688,16,4.6657020164301715,104
The Hotel (dream),188,484,2.574468085106383,2.574468085106383,16,4.239641807003475,87
Eames,187,462,2.4705882352941178,2.4705882352941178,16,4.300917957544463,84
Dreamer,186,441,2.370967741935484,2.370967741935484,16,4.400949367088607,80
The Team,185,422,2.281081081081081,2.281081081081081,16,4.532301032301032,78
Inception: The Cobol Job,184,405,2.2010869565217392,2.2010869565217392,15,4.596439749608764,72
Christopher Nolan,183,387,2.1147540983606556,2.1147540983606556,15,4.412030755314337,67
