removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
League of Legends,896,3260,3.638392857142857,3.638392857142857,3,4.025059769615301,215
Runeterra,895,3155,3.525139664804469,3.525139664804469,3,4.064082313193804,214
Noxus,894,3054,3.4161073825503356,3.4161073825503356,2,4.0659606094388705,208
Summoner's Rift,893,2960,3.3146696528555433,3.3146696528555433,2,4.28923983386458,204
Valoran,892,2874,3.2219730941704037,3.2219730941704037,2,4.350527638190955,200
Twisted Treeline,891,2795,3.1369248035914703,3.1369248035914703,2,4.382549466487102,197
Demacia,890,2728,3.0651685393258425,3.0651685393258425,2,4.404578754578755,196
Champion ability,889,2667,3,3,2,4.531886146640245,183
Riot Games Inc.,888,2609,2.938063063063063,2.938063063063063,2,4.4632126348228045,177
League of Legends terminology,887,2553,2.878241262683202,2.878241262683202,2,4.4632126348228045,177
Dominion,886,2502,2.8239277652370203,2.8239277652370203,2,4.586240110079119,171
Zaun,885,2455,2.774011299435028,2.774011299435028,1,4.595161851722938,170
Rune,884,2408,2.723981900452489,2.723981900452489,1,5.045638186443214,164
Mastery,883,2362,2.6749716874292186,2.6749716874292186,1,5.50851161720727,162
Freljord,882,2317,2.626984126984127,2.626984126984127,1,5.528906577293674,155
"May 15, 2009 Patch",881,2275,2.5822928490351873,2.5822928490351873,1,5.528906577293674,155
Field of Justice,880,2234,2.5386363636363636,2.5386363636363636,1,5.689227373068433,151
Ionia,879,2194,2.496018202502844,2.496018202502844,1,5.653444782168187,141
"June 26, 2009 Patch",878,2155,2.4544419134396356,2.4544419134396356,1,5.626002055498458,140
V1.0.0.61,877,2116,2.4127708095781073,2.4127708095781073,1,5.602231258471484,139
Minion,876,2080,2.374429223744292,2.374429223744292,1,5.14244682502717,114
Champion statistic,875,2044,2.336,2.336,1,5.1902654867256635,113
Piltover,874,2009,2.2986270022883297,2.2986270022883297,1,5.193613256113256,112
