removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Creature,3957,10748,2.7161991407632042,2.7161991407632042,32,5.6858300507346025,1135
Artifact,3956,10430,2.6365015166835186,2.6365015166835186,32,5.794388224471021,1088
Enchantment,3955,10124,2.5597977243994943,2.5597977243994943,32,5.787327714767512,1053
Instant,3954,9825,2.484825493171472,2.484825493171472,32,5.66552830119165,989
Red cards,3953,9528,2.410321274981027,2.410321274981027,32,5.66552830119165,989
Sorcery,3952,9236,2.3370445344129553,2.3370445344129553,32,5.6046266623545895,904
English Set Gallery: 10th Edition,3951,8985,2.2741078208048595,2.2741078208048595,32,5.57041678652227,879
Human,3950,8739,2.2124050632911394,2.2124050632911394,32,5.57041678652227,879
English Set Gallery: Magic 2010,3949,8502,2.1529501139528993,2.1529501139528993,32,5.474871787525427,836
Flying,3948,8288,2.099290780141844,2.099290780141844,32,5.474871787525427,836
Legendary,3947,8081,2.0473777552571573,2.0473777552571573,32,5.498037658134746,825
Slang,3946,7877,1.9961986822098328,1.9961986822098328,32,5.4246475946618045,773
Land,3945,7675,1.9455006337135614,1.9455006337135614,32,5.426312142101616,741
Spirit,3944,7509,1.9039046653144016,1.9039046653144016,31,5.544509066945591,723
Sacrifice,3943,7358,1.8660918082678164,1.8660918082678164,31,5.544509066945591,723
Aura,3942,7212,1.8295281582952816,1.8295281582952816,31,5.479411853363821,682
Keyword Abilities,3941,7068,1.7934534382136513,1.7934534382136513,31,5.472579443348674,676
Counter (noun),3940,6924,1.7573604060913706,1.7573604060913706,31,5.522078868387932,627
Wizard,3939,6813,1.7296268088347295,1.7296268088347295,31,5.519042448846858,618
Zombie,3938,6711,1.7041645505332657,1.7041645505332657,31,5.660500451394212,594
