removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Leslie Knope,726,5167,7.1170798898071626,7.1170798898071626,6,3.299722639546978,510
Ron Swanson,725,4934,6.80551724137931,6.80551724137931,6,3.3648977955911823,500
Parks and Recreation,724,4713,6.509668508287293,6.509668508287293,6,3.4137275843226864,492
"Pawnee, Indiana",723,4496,6.218533886583679,6.218533886583679,6,3.4778819119025304,485
Tom Haverford,722,4284,5.933518005540166,5.933518005540166,6,3.5508234055951897,482
Ben Wyatt,721,4075,5.651872399445215,5.651872399445215,6,3.67356906750174,480
Andy Dwyer,720,3867,5.370833333333334,5.370833333333334,6,3.770170997113036,475
April Ludgate,719,3679,5.11682892906815,5.11682892906815,6,3.8881189291637055,469
Ann Perkins,718,3524,4.908077994428969,4.908077994428969,6,3.948243418613274,465
NBC,717,3391,4.729428172942817,4.729428172942817,6,3.948243418613274,465
Chris Traeger,716,3264,4.558659217877095,4.558659217877095,6,4.019499300410363,462
Jerry Gergich,715,3153,4.40979020979021,4.40979020979021,6,4.150504817843295,457
Donna Meagle,714,3044,4.2633053221288515,4.2633053221288515,6,4.2821113911191855,453
Pawnee,713,2984,4.185133239831697,4.185133239831697,6,4.2821113911191855,453
Parks and Recreation Department,712,2927,4.110955056179775,4.110955056179775,6,4.306161841128434,450
Season 3,711,2874,4.042194092827004,4.042194092827004,6,4.327279867960547,449
Mark Brendanawicz,710,2825,3.9788732394366195,3.9788732394366195,6,4.340872851522054,440
Season 4,709,2776,3.915373765867419,3.915373765867419,6,4.376603114176054,439
Pawnee City Hall,708,2727,3.8516949152542375,3.8516949152542375,6,4.436813763567275,437
Sullivan Street Pit,707,2679,3.789250353606789,3.789250353606789,6,4.503329896021311,432
Perd Hapley,706,2631,3.726628895184136,3.726628895184136,6,4.5441209952837855,430
Jean-Ralphio Saperstein,705,2586,3.668085106382979,3.668085106382979,6,4.605189794370846,424
