removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Timeline,785,5631,7.173248407643312,7.173248407643312,0,4.091115118540042,674
Everybody Loves Raymond (show),784,5415,6.906887755102041,6.906887755102041,0,4.1211455893832944,672
Ray,783,5208,6.6513409961685825,6.6513409961685825,0,4.126887915118892,671
List of characters,782,5040,6.445012787723785,6.445012787723785,0,4.119987303645474,667
1998,781,4893,6.265044814340589,6.265044814340589,0,4.290288785025627,666
1997,780,4761,6.1038461538461535,6.1038461538461535,0,4.472563185071111,665
Robert,779,4630,5.943517329910141,5.943517329910141,0,4.482316457258297,662
Debra,778,4502,5.786632390745501,5.786632390745501,0,4.486854169531931,661
Frank,777,4376,5.631917631917632,5.631917631917632,0,4.49112061433761,660
Marie,776,4266,5.497422680412371,5.497422680412371,0,4.4932270197499,658
Patricia Heaton,775,4162,5.370322580645161,5.370322580645161,0,4.603942468814001,656
Ray Romano,774,4063,5.249354005167959,5.249354005167959,0,4.740684459020101,652
List of episodes,773,3977,5.144890038809832,5.144890038809832,0,4.7346084492529625,648
Timeline within universe,772,3893,5.0427461139896375,5.0427461139896375,0,4.7346084492529625,648
Big Shots,771,3815,4.948119325551232,4.948119325551232,0,4.821078834452136,634
Brad Garrett,770,3740,4.857142857142857,4.857142857142857,0,4.843051972723819,633
Doris Roberts,769,3665,4.76592977893368,4.76592977893368,0,4.848515015346346,632
Peter Boyle,768,3591,4.67578125,4.67578125,0,4.85760685751319,629
1999,767,3518,4.586701434159061,4.586701434159061,0,4.955618060544914,627
Ally,766,3446,4.4986945169712795,4.4986945169712795,0,4.960403833865815,626
1996,765,3374,4.41045751633987,4.41045751633987,0,5.088058974358974,625
Madylin Sweeten,764,3307,4.3285340314136125,4.3285340314136125,0,5.107536424249908,624
Ray Barone,763,3242,4.249017038007864,4.249017038007864,0,5.1337670770349595,621
Sullivan Sweeten,762,3180,4.173228346456693,4.173228346456693,0,5.138910313200271,620
Sawyer Sweeten,761,3120,4.099868593955322,4.099868593955322,0,5.162293290671351,619
Geoffrey,760,3060,4.026315789473684,4.026315789473684,0,5.167699957514437,618
Michael,759,3001,3.953886693017128,3.953886693017128,0,5.189156265128712,617
Everybody Wikis Raymond:Improving the Wiki,758,2945,3.8852242744063323,3.8852242744063323,0,5.19008500834194,615
Robert Barone,757,2894,3.8229854689564067,3.8229854689564067,0,5.238892620669802,613
Cruising with Marie,756,2850,3.7698412698412698,3.7698412698412698,0,5.410650758031854,605
The Wedding: Part 2,755,2807,3.717880794701987,3.717880794701987,0,5.456070766317653,598
Halloween Candy,754,2765,3.6671087533156497,3.6671087533156497,0,5.493550742273059,588
Pilot,753,2723,3.6162018592297476,3.6162018592297476,0,5.546763098795777,583
Neighbors,752,2682,3.5664893617021276,3.5664893617021276,0,5.580370763616837,573
Debra's Sick,751,2642,3.51797603195739,3.51797603195739,0,5.689884031782965,569
I Wish I Were Gus,750,2604,3.472,3.472,0,5.738200280112045,561
Quotes/Ray,749,2567,3.427236315086782,3.427236315086782,0,5.738200280112045,561
Frank's Tribute,748,2531,3.3836898395721926,3.3836898395721926,0,5.82501707483657,555
Quotes/Season 2,747,2495,3.3400267737617133,3.3400267737617133,0,5.82501707483657,555
Captain Nemo,746,2460,3.297587131367292,3.297587131367292,0,5.9106946048506845,551
Ray's on TV,745,2425,3.2550335570469797,3.2550335570469797,0,5.996732612713227,549
The Toaster,744,2391,3.213709677419355,3.213709677419355,0,6.125748563363242,546
Recovering Pessimist,743,2357,3.172274562584118,3.172274562584118,0,6.212364905407922,539
I Love You,742,2324,3.1320754716981134,3.1320754716981134,0,6.2692869841403684,534
High School,741,2291,3.0917678812415654,3.0917678812415654,0,6.371252273781075,530
Quotes/Other characters,740,2261,3.0554054054054056,3.0554054054054056,0,6.371252273781075,530
Anniversary,739,2231,3.0189445196211095,3.0189445196211095,0,6.460669311712955,528
The Garage Sale,738,2202,2.983739837398374,2.983739837398374,0,6.51967739554112,521
Ally Barone,737,2173,2.948439620081411,2.948439620081411,0,6.532444049207055,520
Kevin James,736,2144,2.9130434782608696,2.9130434782608696,0,6.7444298137939755,519
Debra's nicknames,735,2116,2.8789115646258505,2.8789115646258505,0,7.221063008297051,518
The Letter,734,2088,2.844686648501362,2.844686648501362,0,7.2665957231174625,507
T-Ball,733,2061,2.811732605729877,2.811732605729877,0,7.403126018878577,502
New York Mets,732,2034,2.778688524590164,2.778688524590164,0,7.403126018878577,502
Quotes/Season 1,731,2008,2.746922024623803,2.746922024623803,0,7.403126018878577,502
Mia Famiglia,730,1982,2.7150684931506848,2.7150684931506848,0,7.532920414050569,498
Debra Barone,729,1956,2.683127572016461,2.683127572016461,0,7.701306090140009,493
The Ride-Along,728,1930,2.651098901098901,2.651098901098901,0,7.899925408159844,489
Turkey or Fish,727,1905,2.6203576341127923,2.6203576341127923,0,8.140982563319334,486
Frank Barone,726,1881,2.590909090909091,2.590909090909091,0,8.260266413428468,484
Working Late Again,725,1857,2.5613793103448277,2.5613793103448277,0,8.42936238691719,480
Nemo's Pizza,724,1834,2.5331491712707184,2.5331491712707184,0,8.691052631578948,476
Diamonds,723,1811,2.504840940525588,2.504840940525588,0,8.837920798448685,467
The Gift,722,1788,2.4764542936288088,2.4764542936288088,0,8.663925061722418,455
The Lone Barone,721,1765,2.4479889042995837,2.4479889042995837,0,8.922380784934264,453
The Apartment,720,1743,2.4208333333333334,2.4208333333333334,0,9.211953683173196,451
Fascinatin' Debra,719,1721,2.3936022253129345,2.3936022253129345,0,9.35117636798309,442
In-Laws,718,1700,2.367688022284123,2.367688022284123,0,9.505365558028483,438
The Dog,717,1679,2.3417015341701535,2.3417015341701535,0,9.656856825043699,435
Ray Home Alone,716,1658,2.315642458100559,2.315642458100559,0,9.606672190002762,426
Season 2 DVD,715,1638,2.290909090909091,2.290909090909091,0,9.810677025527193,425
Geoffrey Barone,714,1619,2.2675070028011204,2.2675070028011204,0,9.838524242829743,424
Everybody Loves Raymond,713,1600,2.244039270687237,2.244039270687237,0,9.838524242829743,424
Move Over,712,1582,2.2219101123595504,2.2219101123595504,0,9.780621435865662,418
Look Don't Touch,711,1564,2.19971870604782,2.19971870604782,0,9.61535051082696,395
Main Page,710,1546,2.1774647887323946,2.1774647887323946,0,9.713841598815693,386
The Car,709,1528,2.155148095909732,2.155148095909732,0,10.209902597402598,385
Moving Out,708,1511,2.134180790960452,2.134180790960452,0,10.472660041283337,383
Robert's Date,707,1494,2.113154172560113,2.113154172560113,0,10.422338030995972,374
The Wedding: Part 1,706,1477,2.092067988668555,2.092067988668555,0,10.448998324470022,371
The Checkbook,705,1460,2.0709219858156027,2.0709219858156027,0,10.542046560371285,366
The Sitter,704,1444,2.0511363636363638,2.0511363636363638,0,10.05922028635501,341
2004,703,1428,2.0312944523470837,2.0312944523470837,0,10.828405397767416,337
