removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Sons of Anarchy,1314,13375,10.178843226788432,10.178843226788432,1,3.491225590140909,1051
SAMCRO,1313,13061,9.947448591012947,9.947448591012947,1,3.541961082528617,1049
Jax Teller,1312,12793,9.75076219512195,9.75076219512195,1,3.5871757713345307,1044
Clay Morrow,1311,12580,9.595728451563692,9.595728451563692,1,3.63329940031095,1040
Gemma Teller Morrow,1310,12378,9.448854961832062,9.448854961832062,1,3.6518365897644345,1035
List of Deaths,1309,12187,9.310160427807487,9.310160427807487,1,3.6518365897644345,1035
Season 3,1308,12014,9.185015290519878,9.185015290519878,1,3.665546632313537,1034
Tig Trager,1307,11844,9.061973986228002,9.061973986228002,1,3.697286459660147,1030
Tara Knowles,1306,11675,8.939509954058193,8.939509954058193,1,3.724657445843322,1027
Sons of Anarchy Motorcycle Club,1305,11512,8.821455938697317,8.821455938697317,1,3.7625674559735747,1021
Wayne Unser,1304,11350,8.70398773006135,8.70398773006135,1,3.7898665598216152,1017
Marcus Alvarez,1303,11195,8.591711435149655,8.591711435149655,1,3.835065730025942,1015
Season 2,1302,11043,8.481566820276498,8.481566820276498,1,3.8482026150166413,1013
Season 7,1301,10894,8.373558800922368,8.373558800922368,1,3.8563469816211398,1012
Season 5,1300,10752,8.27076923076923,8.27076923076923,1,3.869118900020566,1011
Season 1,1299,10611,8.168591224018476,8.168591224018476,1,3.8896136845652216,1005
Chibs Telford,1298,10474,8.069337442218798,8.069337442218798,1,3.928080919080919,1001
Bobby Munson,1297,10354,7.983037779491133,7.983037779491133,1,3.956518148823982,997
SAMCRO Kill List,1296,10234,7.896604938271605,7.896604938271605,1,3.956518148823982,997
Out,1295,10117,7.812355212355213,7.812355212355213,1,3.9727406360653608,993
Lochán Mór,1294,10012,7.7372488408037094,7.7372488408037094,1,3.98107464942652,990
Happy Lowman,1293,9908,7.6627996906419185,7.6627996906419185,1,4.010861851847294,988
Season 4,1292,9806,7.589783281733746,7.589783281733746,1,4.01638422284528,984
Opie Winston,1291,9705,7.517428350116189,7.517428350116189,1,4.0547257718204746,980
Turas,1290,9605,7.445736434108527,7.445736434108527,1,4.06572329216143,978
Wolfsangel,1289,9505,7.373933281613654,7.373933281613654,1,4.079670404886011,975
Juice Ortiz,1288,9405,7.3020186335403725,7.3020186335403725,1,4.112524413854276,969
Charlie Hunnam,1287,9309,7.233100233100233,7.233100233100233,1,4.112524413854276,969
Katey Sagal,1286,9213,7.164074650077761,7.164074650077761,1,4.112524413854276,969
True IRA,1285,9118,7.095719844357976,7.095719844357976,1,4.13683689864709,968
Red Rose,1284,9024,7.02803738317757,7.02803738317757,1,4.1596418883186566,967
Straw,1283,8931,6.961028838659392,6.961028838659392,1,4.175875656553905,964
The Culling,1282,8838,6.893915756630265,6.893915756630265,1,4.180807916232187,960
Tyne Patterson,1281,8746,6.827478532396565,6.827478532396565,1,4.227100389831655,958
Kurt Sutter,1280,8656,6.7625,6.7625,1,4.248163158010033,956
Kim Coates,1279,8567,6.698201720093823,6.698201720093823,1,4.248163158010033,956
Mark Boone Junior,1278,8478,6.633802816901408,6.633802816901408,1,4.248163158010033,956
Abel Teller,1277,8390,6.570086139389193,6.570086139389193,1,4.2667751397421,951
The Push,1276,8303,6.50705329153605,6.50705329153605,1,4.279918789221115,946
Theo Rossi,1275,8217,6.444705882352941,6.444705882352941,1,4.279918789221115,946
Tommy Flanagan,1274,8131,6.382260596546311,6.382260596546311,1,4.279918789221115,946
Bainne,1273,8048,6.3220738413197175,6.3220738413197175,1,4.286304494172053,943
Seeds,1272,7967,6.263364779874214,6.263364779874214,1,4.3053818730289315,936
Dayton Callie,1271,7887,6.205350118017309,6.205350118017309,1,4.3053818730289315,936
Pilot,1270,7808,6.148031496062992,6.148031496062992,1,4.308003703851677,923
Poenitentia,1269,7731,6.092198581560283,6.092198581560283,1,4.302943314653263,912
Playing with Monsters,1268,7655,6.037066246056782,6.037066246056782,1,4.311271693925091,906
Small World,1267,7579,5.981846882399369,5.981846882399369,1,4.335085114515039,904
Fun Town,1266,7504,5.927330173775672,5.927330173775672,1,4.34655451915403,896
Widening Gyre,1265,7429,5.872727272727273,5.872727272727273,1,4.356899840457389,892
Authority Vested,1264,7354,5.818037974683544,5.818037974683544,1,4.371787937881511,888
Oiled,1263,7279,5.7632620744259695,5.7632620744259695,1,4.38720505151213,885
Sweet and Vaded,1262,7206,5.709984152139461,5.709984152139461,1,4.392014497987824,881
Na Trioblóidí,1261,7133,5.656621728786678,5.656621728786678,1,4.400914546640574,876
Sovereign,1260,7061,5.603968253968254,5.603968253968254,1,4.412519572916338,873
Black Widower,1259,6989,5.551231135822081,5.551231135822081,1,4.4254168460553105,868
Potlatch,1258,6918,5.499205087440382,5.499205087440382,1,4.434383051435742,866
One One Six,1257,6847,5.447096260938743,5.447096260938743,1,4.44870260933302,862
Caregiver,1256,6776,5.3949044585987265,5.3949044585987265,1,4.454971979316133,860
John 8:32,1255,6706,5.343426294820717,5.343426294820717,1,4.44742603755283,850
Lin Triad,1254,6637,5.2926634768740035,5.2926634768740035,1,4.4738524234948995,849
June Wedding,1253,6568,5.241819632881086,5.241819632881086,1,4.4770829786026445,840
Balm,1252,6501,5.192492012779553,5.192492012779553,1,4.502590991979787,837
SO,1251,6434,5.14308553157474,5.14308553157474,1,4.516931262957969,831
Salvage,1250,6367,5.0936,5.0936,1,4.5163267232124955,824
Orca Shrugged,1249,6301,5.044835868694956,5.044835868694956,1,4.53957992929503,821
Fírinne,1248,6236,4.996794871794871,4.996794871794871,1,4.541617167062664,817
Dorylus,1247,6171,4.948676824378508,4.948676824378508,1,4.526205926887303,805
Piney Winston,1246,6106,4.900481540930979,4.900481540930979,1,4.557805653056295,799
Aryan Brotherhood,1245,6042,4.853012048192771,4.853012048192771,1,4.589902145608847,797
Papa's Goods,1244,5978,4.805466237942122,4.805466237942122,1,4.6167393571631745,796
The Mad King,1243,5916,4.759452936444087,4.759452936444087,1,4.6122901630687,791
One-Niners,1242,5854,4.713365539452496,4.713365539452496,1,4.653105025187211,788
Call of Duty,1241,5793,4.668009669621273,4.668009669621273,1,4.658365261813538,783
Gilead,1240,5732,4.622580645161291,4.622580645161291,1,4.670812557131119,779
J'ai Obtenu Cette,1239,5671,4.577078288942696,4.577078288942696,1,4.677462218077158,774
You Are My Sunshine,1238,5610,4.531502423263328,4.531502423263328,1,4.681554726158107,770
Booster,1237,5550,4.486661277283751,4.486661277283751,1,4.678270540327824,765
Laying Pipe,1236,5491,4.442556634304207,4.442556634304207,1,4.689949216285644,758
Poor Little Lambs,1235,5432,4.398380566801619,4.398380566801619,1,4.712388310732681,756
David Hale,1234,5374,4.354943273905997,4.354943273905997,1,4.746409587115728,754
Season 6,1233,5316,4.311435523114355,4.311435523114355,1,4.755327978864683,753
Brick,1232,5258,4.267857142857143,4.267857142857143,1,4.754007115807258,748
Faith and Despondency,1231,5200,4.224207961007311,4.224207961007311,1,4.779793799593357,746
Hands,1230,5143,4.18130081300813,4.18130081300813,1,4.782591522510332,740
Fa Guan,1229,5086,4.138323840520749,4.138323840520749,1,4.785899328308695,733
Darthy,1228,5029,4.0952768729641695,4.0952768729641695,1,4.795612304338839,730
AK-51,1227,4973,4.052974735126324,4.052974735126324,1,4.819684620499667,726
Turning and Turning,1226,4917,4.010603588907014,4.010603588907014,1,4.828401715345387,720
Family Recipe,1225,4861,3.9681632653061225,3.9681632653061225,1,4.845727854265522,717
The Separation of Crows,1224,4806,3.926470588235294,3.926470588235294,1,4.841554907445037,709
"To Be, Act 2",1223,4751,3.884709730171709,3.884709730171709,1,4.855499969863179,706
Crucifixed,1222,4696,3.8428805237315875,3.8428805237315875,1,4.880554883945841,705
NS,1221,4641,3.800982800982801,3.800982800982801,1,4.914935178093073,703
Huang Wu,1220,4586,3.759016393442623,3.759016393442623,1,4.918204885407316,699
Burnt and Purged Away,1219,4532,3.7178014766201803,3.7178014766201803,1,4.921597614681188,694
Fruit For The Crows,1218,4478,3.676518883415435,3.676518883415435,1,4.923844803726331,689
Una Venta,1217,4425,3.635990139687757,3.635990139687757,1,4.935357834478943,686
Stolen Huffy,1216,4372,3.5953947368421053,3.5953947368421053,1,4.931293857749285,680
The Revelator,1215,4319,3.554732510288066,3.554732510288066,1,4.936831032215648,676
Small Tears,1214,4267,3.514827018121911,3.514827018121911,1,4.942705251684943,671
The Pull,1213,4216,3.4756801319043693,3.4756801319043693,1,4.959072379744542,665
The Sleep of Babies,1212,4165,3.4364686468646863,3.4364686468646863,1,4.983374572231868,663
To Thine Own Self,1211,4115,3.398018166804294,3.398018166804294,1,4.995079781119235,660
Greensleeves,1210,4065,3.3595041322314048,3.3595041322314048,1,4.997125113915012,653
Smite,1209,4015,3.3209263854425144,3.3209263854425144,1,5.012130450194967,651
"To Be, Act 1",1208,3965,3.2822847682119205,3.2822847682119205,1,5.018114086926563,647
Andare Pescare,1207,3916,3.244407622203811,3.244407622203811,1,5.0394308511152115,644
Toil and Till,1206,3867,3.2064676616915424,3.2064676616915424,1,5.056980685926776,639
Cameron Hayes,1205,3818,3.1684647302904563,3.1684647302904563,1,5.100794309015333,637
Aon Rud Persanta,1204,3769,3.1303986710963456,3.1303986710963456,1,5.1316099620854985,632
Giving Back,1203,3721,3.0931005818786366,3.0931005818786366,1,5.138761234060574,619
Jimmy O'Phelan,1202,3675,3.057404326123128,3.057404326123128,1,5.166352130846901,613
Falx Cerebri,1201,3629,3.0216486261448794,3.0216486261448794,1,5.158846806105144,610
Albification,1200,3583,2.9858333333333333,2.9858333333333333,1,5.17216532711088,609
A Mother's Work,1199,3537,2.949958298582152,2.949958298582152,1,5.202072934566184,606
Smoke 'em if You Got 'em,1198,3492,2.9148580968280466,2.9148580968280466,1,5.209321090706734,600
Sons of Anarchy Wiki,1197,3447,2.8796992481203008,2.8796992481203008,1,5.209321090706734,600
Home,1196,3402,2.8444816053511706,2.8444816053511706,1,5.212472505780836,596
Los Fantasmas,1195,3358,2.810041841004184,2.810041841004184,1,5.215230141308822,592
What a Piece of Work is Man,1194,3315,2.7763819095477387,2.7763819095477387,1,5.238048122974562,591
Toad's Wild Ride,1193,3272,2.7426655490360434,2.7426655490360434,1,5.261500525507317,589
Some Strange Eruption,1192,3229,2.7088926174496644,2.7088926174496644,1,5.2736588780957385,586
Service,1191,3186,2.6750629722921913,2.6750629722921913,1,5.2736588780957385,586
John Teller,1190,3143,2.6411764705882352,2.6411764705882352,1,5.301861348190997,582
Tacoma,1189,3101,2.6080740117746006,2.6080740117746006,1,5.329301421863475,578
