removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
The Brady Bunch,294,1754,5.965986394557823,5.965986394557823,3,4.025440742832047,253
Carol Brady,293,1673,5.709897610921502,5.709897610921502,3,4.046654651236325,252
Mike Brady,292,1595,5.462328767123288,5.462328767123288,3,4.075490039840638,251
Bobby Brady,291,1531,5.261168384879725,5.261168384879725,3,4.256493716802694,249
A Very Brady Christmas,290,1469,5.06551724137931,5.06551724137931,3,4.303351584536253,246
Peter Brady,289,1410,4.8788927335640135,4.8788927335640135,3,4.460956841753094,245
Marcia Brady,288,1355,4.704861111111111,4.704861111111111,3,4.534299221167908,243
Season 2,287,1304,4.543554006968641,4.543554006968641,3,4.642313363739241,242
Greg Brady,286,1253,4.381118881118881,4.381118881118881,3,4.847959889349931,241
The Bradys,285,1206,4.231578947368421,4.231578947368421,3,5.012160228898426,234
Cindy Brady,284,1161,4.088028169014085,4.088028169014085,3,5.094735089536777,233
Alice Nelson,283,1119,3.954063604240283,3.954063604240283,3,5.141558441558441,231
Jan Brady,282,1077,3.8191489361702127,3.8191489361702127,3,5.399221568255173,230
Season 4,281,1035,3.683274021352313,3.683274021352313,3,5.437504788171301,229
Season 1,280,994,3.55,3.55,3,5.454613807245386,210
Season 5,279,955,3.4229390681003586,3.4229390681003586,3,5.502967427309533,209
Season 3,278,916,3.2949640287769784,3.2949640287769784,3,5.602378298030472,208
The Brady Bunch Movie,277,881,3.1805054151624548,3.1805054151624548,2,5.864241827306412,207
Oscar Rudolph,276,851,3.0833333333333335,3.0833333333333335,2,5.963271162123386,205
Robert Reed,275,823,2.9927272727272727,2.9927272727272727,2,6.038322225441901,204
Mike Lookinland,274,798,2.9124087591240877,2.9124087591240877,2,6.082951578739964,202
Sherwood Schwartz,273,775,2.838827838827839,2.838827838827839,2,6.215671641791045,201
Characters,272,753,2.7683823529411766,2.7683823529411766,2,6.428726820677509,197
A Very Brady Sequel,271,731,2.697416974169742,2.697416974169742,2,6.826131082741306,194
The Brady Bunch Hour,270,712,2.637037037037037,2.637037037037037,1,7.020217209690894,190
Jack Arnold,269,694,2.579925650557621,2.579925650557621,1,7.32342677023528,189
Susan Olsen,268,676,2.5223880597014925,2.5223880597014925,1,7.312176692821854,186
Tiger,267,658,2.4644194756554305,2.4644194756554305,1,7.569416921875939,183
Sam Franklin,266,642,2.4135338345864663,2.4135338345864663,1,7.569416921875939,183
Christopher Knight,265,626,2.362264150943396,2.362264150943396,1,7.551450517361772,178
The Brady Brides,264,610,2.3106060606060606,2.3106060606060606,1,7.4743821789070655,170
Tam Spiva,263,595,2.2623574144486693,2.2623574144486693,1,8.577523524379812,168
A Moving Experience,262,581,2.217557251908397,2.217557251908397,1,8.577523524379812,168
Al Schwartz,261,567,2.1724137931034484,2.1724137931034484,1,9.060021905805039,166
The Undergraduate,260,553,2.126923076923077,2.126923076923077,1,9.566025736944486,164
The Brady Bunch in the White House,259,541,2.088803088803089,2.088803088803089,1,9.774253144654088,160
Maureen McCormick,258,529,2.050387596899225,2.050387596899225,1,9.774253144654088,160
Episode:Will the Real Jan Brady Please Stand Up?,257,517,2.0116731517509727,2.0116731517509727,1,10.526130981544995,157
Robbie Rist,256,506,1.9765625,1.9765625,1,10.559387923904053,156
The Brady Bunch 35th Anniversary Reunion Special: Still Brady After All These Years,255,496,1.9450980392156862,1.9450980392156862,1,10.57329598506069,154
Larry Rhine,254,486,1.9133858267716535,1.9133858267716535,1,10.941993464052288,153
Episode:Jan's Aunt Jenny,253,477,1.8853754940711462,1.8853754940711462,1,11.261118568232662,150
Is There A Doctor In the House?,252,468,1.8571428571428572,1.8571428571428572,1,11.337340415618302,147
Florence Henderson,251,459,1.8286852589641434,1.8286852589641434,1,11.337340415618302,147
Episode:The Snooperstar,250,450,1.8,1.8,1,11.499704520831282,143
Allan Melvin,249,441,1.7710843373493976,1.7710843373493976,1,11.499704520831282,143
Episode:Mail Order Hero,248,432,1.7419354838709677,1.7419354838709677,1,11.822695035460994,141
Jerry London,247,424,1.7165991902834008,1.7165991902834008,1,12.83180883864337,140
Episode:Pass the Tabu,246,416,1.6910569105691058,1.6910569105691058,1,12.858825982692107,139
Episode:The Cincinnati Kids,245,408,1.6653061224489796,1.6653061224489796,1,11.167272727272728,100
