removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Jim Halpert,1133,17330,15.29567519858782,15.29567519858782,2,3.450001921638537,823
Michael Scott,1132,16979,14.999116607773852,14.999116607773852,2,3.4616726955446895,813
Ryan Howard,1131,16634,14.707338638373121,14.707338638373121,2,3.4910872731278073,809
Dwight Schrute,1130,16290,14.415929203539823,14.415929203539823,2,3.510746538507661,807
Creed Bratton,1129,15969,14.144375553587246,14.144375553587246,2,3.531049608743332,804
Angela Martin,1128,15654,13.877659574468085,13.877659574468085,2,3.54694774718398,800
Kevin Malone,1127,15347,13.61756876663709,13.61756876663709,2,3.5799105590847318,796
Meredith Palmer,1126,15069,13.382770870337477,13.382770870337477,2,3.5913630285146163,794
Kelly Kapoor,1125,14795,13.151111111111112,13.151111111111112,2,3.6196573829317193,792
Andy Bernard,1124,14525,12.922597864768683,12.922597864768683,2,3.6454762666873592,787
Oscar Martinez,1123,14263,12.70080142475512,12.70080142475512,2,3.6635536398467434,784
The Office,1122,14022,12.497326203208557,12.497326203208557,2,3.752252039248138,770
Stanley Hudson,1121,13791,12.302408563782338,12.302408563782338,2,3.760671388974438,765
Toby Flenderson,1120,13569,12.115178571428572,12.115178571428572,2,3.797167354737688,762
Darryl Philbin,1119,13352,11.932082216264522,11.932082216264522,2,3.835701005780266,757
Brian Baumgartner,1118,13141,11.754025044722718,11.754025044722718,2,3.835701005780266,757
Angela Kinsey,1117,12931,11.576544315129812,11.576544315129812,2,3.835701005780266,757
Rainn Wilson,1116,12728,11.405017921146953,11.405017921146953,2,3.8418129577069973,756
Oscar Nunez,1115,12530,11.237668161434977,11.237668161434977,2,3.8418129577069973,756
Creed Bratton (actor),1114,12334,11.071813285457809,11.071813285457809,2,3.8418129577069973,756
Kate Flannery,1113,12139,10.906558849955076,10.906558849955076,2,3.8418129577069973,756
John Krasinski,1112,11947,10.743705035971223,10.743705035971223,2,3.8418129577069973,756
Jenna Fischer,1111,11755,10.58055805580558,10.58055805580558,2,3.8418129577069973,756
Mindy Kaling,1110,11566,10.41981981981982,10.41981981981982,2,3.8491559365503187,755
Phyllis Smith,1109,11378,10.259693417493237,10.259693417493237,2,3.850134387296085,754
Leslie David Baker,1108,11190,10.09927797833935,10.09927797833935,2,3.850134387296085,754
Pam Halpert,1107,11005,9.941282746160795,9.941282746160795,2,3.889979667848211,746
B.J. Novak,1106,10820,9.783001808318264,9.783001808318264,2,3.889979667848211,746
Phyllis Vance,1105,10636,9.625339366515837,9.625339366515837,2,3.9188591944301976,742
Paul Lieberstein,1104,10462,9.476449275362318,9.476449275362318,2,3.9470255680781996,741
Pam Beesly,1103,10292,9.330915684496826,9.330915684496826,2,3.9470255680781996,741
Ed Helms,1102,10134,9.19600725952813,9.19600725952813,2,3.9470255680781996,741
Steve Carell,1101,9976,9.060853769300635,9.060853769300635,2,3.948872533380273,739
The Office (US),1100,9824,8.930909090909092,8.930909090909092,2,3.948872533380273,739
