removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Servant,2694,22977,8.528953229398663,8.528953229398663,16,3.291894263010427,1476
Fate/Grand Order,2693,22183,8.237281841812106,8.237281841812106,16,3.4196661185339376,1459
Noble Phantasm,2692,21470,7.975482912332838,7.975482912332838,16,3.6267458954361946,1439
Fate,2691,21031,7.815310293571163,7.815310293571163,16,3.630474843762552,1438
Skill,2690,20600,7.657992565055762,7.657992565055762,16,3.6462374103883537,1431
Heroic Spirit,2689,20280,7.541837114168836,7.541837114168836,16,3.721639811623753,1413
Saber (Fate/stay night),2688,19962,7.426339285714286,7.426339285714286,16,3.7373746894960966,1409
Popularity polls,2687,19688,7.327130628954224,7.327130628954224,16,3.7460170431610273,1403
List of characters by statistics,2686,19429,7.2334326135517495,7.2334326135517495,16,3.7460170431610273,1403
Magus,2685,19174,7.141154562383613,7.141154562383613,16,3.7662391182747537,1399
List of minor characters,2684,18930,7.05290611028316,7.05290611028316,16,3.7632619058638404,1395
Holy Grail War,2683,18713,6.974655236675363,6.974655236675363,16,3.7757226257467957,1392
True Name,2682,18498,6.8970917225950785,6.8970917225950785,16,3.7757226257467957,1392
Gilgamesh,2681,18285,6.820216337187617,6.820216337187617,16,3.7871104702395257,1387
List of illustrators,2680,18080,6.746268656716418,6.746268656716418,16,3.7871104702395257,1387
Holy Grail,2679,17881,6.674505412467338,6.674505412467338,16,3.800169028192233,1385
Fate/stay night,2678,17687,6.604555638536221,6.604555638536221,16,3.820064337082465,1378
Human,2677,17494,6.534927157265596,6.534927157265596,16,3.822979915433404,1376
Command Spells,2676,17303,6.465994020926757,6.465994020926757,16,3.8366624976907837,1373
Protagonist,2675,17116,6.398504672897197,6.398504672897197,16,3.8473052330069692,1371
Fate/Apocrypha,2674,16931,6.331712789827973,6.331712789827973,16,3.864185131077023,1369
Shirou Emiya,2673,16752,6.267115600448934,6.267115600448934,16,3.868670576735093,1365
Grand Order,2672,16576,6.203592814371257,6.203592814371257,16,3.868670576735093,1365
Master,2671,16405,6.141894421564957,6.141894421564957,16,3.8760184860461764,1364
Berserker,2670,16240,6.082397003745318,6.082397003745318,16,3.928478635298561,1358
Kirei Kotomine,2669,16077,6.023604346197078,6.023604346197078,16,3.9360070039976263,1357
Rin Tohsaka,2668,15917,5.965892053973014,5.965892053973014,16,3.9417001382403205,1356
Fate/Extra,2667,15760,5.909261342332209,5.909261342332209,16,3.9559202256492014,1352
Archer (Fate/stay night),2666,15612,5.85596399099775,5.85596399099775,16,3.9639712695671245,1351
Saber,2665,15467,5.80375234521576,5.80375234521576,16,3.9942881159055785,1347
Rider (Fate/stay night),2664,15327,5.753378378378378,5.753378378378378,16,4.007561252349041,1344
Fate/kaleid liner PRISMA☆ILLYA,2663,15193,5.705219677055952,5.705219677055952,16,4.013522319609099,1337
Gate of Babylon,2662,15060,5.657400450788881,5.657400450788881,16,4.02783418279286,1332
Assassin,2661,14928,5.609921082299887,5.609921082299887,16,4.063180899211983,1320
Tsukihime,2660,14797,5.562781954887218,5.562781954887218,16,4.066684295364805,1318
Touko Aozaki,2659,14668,5.51635953365927,5.51635953365927,16,4.075897833567586,1317
Caster,2658,14540,5.470278404815651,5.470278404815651,16,4.105635243995461,1312
Sakura Matou,2657,14414,5.424915318027851,5.424915318027851,16,4.113269846453502,1310
Excalibur,2656,14292,5.381024096385542,5.381024096385542,16,4.129576919387256,1308
Lancer,2655,14170,5.337099811676083,5.337099811676083,16,4.1534743858290355,1306
Chibichuki!,2654,14048,5.293142426525998,5.293142426525998,16,4.154407893190419,1305
Fate/strange fake,2653,13927,5.249528835280814,5.249528835280814,16,4.191110415322828,1304
Reality Marble,2652,13806,5.205882352941177,5.205882352941177,16,4.22025595341407,1302
Archer,2651,13688,5.163334590720483,5.163334590720483,16,4.240702184855756,1290
Fate/Extra CCC,2650,13572,5.121509433962264,5.121509433962264,16,4.250080056456417,1287
Kiritsugu Emiya,2649,13457,5.0800302000755,5.0800302000755,16,4.258032413299878,1285
Rider,2648,13342,5.038519637462236,5.038519637462236,16,4.3081105844409695,1280
Magecraft,2647,13229,4.9977332829618435,4.9977332829618435,16,4.323420586065258,1279
Fate/hollow ataraxia,2646,13117,4.9572940287226,4.9572940287226,16,4.340149978486693,1276
Fate/Zero,2645,13006,4.9172022684310015,4.9172022684310015,16,4.3567218525051015,1273
Caster (Fate/stay night),2644,12896,4.877458396369137,4.877458396369137,16,4.369422675430717,1271
Capsule Servant,2643,12788,4.838441165342414,4.838441165342414,16,4.404807555083983,1270
Shirou Kotomine,2642,12683,4.800529901589705,4.800529901589705,16,4.424611884502441,1264
Waver Velvet,2641,12580,4.763347216963272,4.763347216963272,16,4.436967365472275,1262
Hakuno Kishinami,2640,12478,4.726515151515152,4.726515151515152,16,4.4471866056457,1260
Kara no Kyoukai,2639,12376,4.689655172413793,4.689655172413793,16,4.456966123718448,1259
Lancer (Fate/stay night),2638,12275,4.653146322971948,4.653146322971948,16,4.484329349269588,1255
Phantasmal Species,2637,12176,4.617368221463785,4.617368221463785,16,4.507268816820462,1253
Divine Spirit,2636,12079,4.582321699544765,4.582321699544765,16,4.568698321342926,1251
Shiki Ryougi,2635,11984,4.548007590132827,4.548007590132827,16,4.587072221880068,1249
Mage's Association,2634,11890,4.514047076689446,4.514047076689446,16,4.600216944950219,1245
Arcueid Brunestud,2633,11798,4.480820357007216,4.480820357007216,16,4.606792129136233,1241
Shiki Tohno,2632,11707,4.447948328267477,4.447948328267477,16,4.609704657855037,1239
Playable Saber (Fate/Extra),2631,11616,4.415051311288483,4.415051311288483,16,4.6299044848866,1236
Berserker (Fate/Zero),2630,11527,4.382889733840305,4.382889733840305,16,4.643680076640923,1235
