removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Sydney Bristow,674,7400,10.979228486646884,10.979228486646884,6,2.762593639357851,538
Season 4,673,7162,10.64190193164933,10.64190193164933,6,2.864225129130404,533
Deaths on Alias,672,6926,10.306547619047619,10.306547619047619,6,2.8701010396707116,533
Arvin Sloane,671,6704,9.991058122205663,9.991058122205663,6,3.520385175709768,531
Jack Bristow,670,6490,9.686567164179104,9.686567164179104,6,3.5479686293749686,527
Sydney,669,6279,9.385650224215247,9.385650224215247,6,3.5479686293749686,527
Season 1,668,6070,9.08682634730539,9.08682634730539,6,3.7425190839694658,525
Michael Vaughn,667,5880,8.815592203898051,8.815592203898051,6,3.7809316403366307,521
Alias,666,5703,8.563063063063064,8.563063063063064,6,3.8235041770151277,516
Marcus Dixon,665,5535,8.323308270676693,8.323308270676693,6,3.8613966557017543,513
Marshall Flinkman,664,5370,8.087349397590362,8.087349397590362,6,3.9413316213665825,509
Episodes,663,5212,7.861236802413273,7.861236802413273,6,3.9413316213665825,509
Season 3,662,5059,7.641993957703927,7.641993957703927,6,3.9729487944108377,485
Season 2,661,4907,7.423600605143721,7.423600605143721,6,4.074833077885242,477
Irina Derevko,660,4777,7.237878787878788,7.237878787878788,6,4.1415323117921385,475
Vaughn,659,4650,7.056145675265554,7.056145675265554,6,4.1415323117921385,475
Season 5,658,4527,6.879939209726444,6.879939209726444,6,4.224684835001854,465
Jennifer Garner,657,4414,6.718417047184171,6.718417047184171,6,4.2564348160877445,462
Julian Sark,656,4304,6.560975609756097,6.560975609756097,6,4.353316969679672,459
Victor Garber,655,4196,6.406106870229007,6.406106870229007,6,4.353316969679672,459
CIA,654,4089,6.252293577981652,6.252293577981652,6,4.382459174605601,458
Kevin Weisman,653,3982,6.0980091883614085,6.0980091883614085,6,4.382459174605601,458
Carl Lumbly,652,3876,5.9447852760736195,5.9447852760736195,6,4.382459174605601,458
Ron Rifkin,651,3770,5.7910906298003075,5.7910906298003075,6,4.382459174605601,458
SD-6,650,3671,5.647692307692307,5.647692307692307,6,4.4744964117792625,450
Michael Vartan,649,3574,5.50693374422188,5.50693374422188,6,4.4744964117792625,450
Sloane,648,3485,5.378086419753086,5.378086419753086,6,4.4744964117792625,450
APO,647,3398,5.25193199381762,5.25193199381762,6,4.544314747056952,449
Nadia Santos,646,3314,5.130030959752322,5.130030959752322,6,4.660466889377113,447
Eric Weiss,645,3233,5.0124031007751935,5.0124031007751935,6,4.690999476713762,442
Anna Espinosa,644,3162,4.909937888198757,4.909937888198757,6,4.83802711487469,433
Jack,643,3093,4.810264385692069,4.810264385692069,6,4.83802711487469,433
Will Tippin,642,3026,4.713395638629284,4.713395638629284,6,4.8680316925299305,428
Milo Rambaldi,641,2960,4.617784711388455,4.617784711388455,6,5.088936839288104,424
Dixon,640,2894,4.521875,4.521875,6,5.088936839288104,424
Kills by Sydney Bristow,639,2831,4.430359937402191,4.430359937402191,6,5.088936839288104,424
Greg Grunberg,638,2768,4.338557993730408,4.338557993730408,6,5.088936839288104,424
Authorized Personnel Only,637,2711,4.255886970172685,4.255886970172685,6,5.155788628256915,412
Francie Calfo,636,2657,4.177672955974843,4.177672955974843,6,5.161553884711779,400
The Covenant,635,2608,4.1070866141732285,4.1070866141732285,6,5.383750064911461,393
Alliance of Twelve,634,2560,4.037854889589905,4.037854889589905,6,5.5848079004329,385
Elena Derevko,633,2513,3.9699842022116902,3.9699842022116902,6,5.866991297140489,381
Lauren Reed,632,2466,3.901898734177215,3.901898734177215,6,5.889012502648867,364
Marshall,631,2420,3.8351822503961963,3.8351822503961963,6,5.889012502648867,364
Bradley Cooper,630,2375,3.7698412698412698,3.7698412698412698,6,5.889012502648867,364
Merrin Dungey,629,2332,3.707472178060413,3.707472178060413,6,5.889012502648867,364
Rambaldi,628,2293,3.6512738853503186,3.6512738853503186,6,5.889012502648867,364
David Anders,627,2257,3.5996810207336525,3.5996810207336525,6,5.889012502648867,364
Will,626,2224,3.5527156549520766,3.5527156549520766,6,5.889012502648867,364
Nadia,625,2191,3.5056,3.5056,6,5.889012502648867,364
K-Directorate,624,2159,3.4599358974358974,3.4599358974358974,6,6.089942620580491,363
Special feature,623,2128,3.4157303370786516,3.4157303370786516,6,6.089942620580491,363
Rachel Gibson,622,2098,3.372990353697749,3.372990353697749,6,6.117874730686365,361
Lena Olin,621,2070,3.3333333333333335,3.3333333333333335,6,6.117874730686365,361
Russia,620,2042,3.293548387096774,3.293548387096774,6,6.356290002034333,358
47,619,2014,3.2536348949919223,3.2536348949919223,6,6.485607859189521,350
Kelly Peyton,618,1987,3.215210355987055,3.215210355987055,6,6.508896707715507,346
Kazu Tamazaki,617,1961,3.178282009724473,3.178282009724473,6,6.474404761904762,336
Sark,616,1935,3.1412337662337664,3.1412337662337664,6,6.474404761904762,336
Season 1 DVD,615,1911,3.107317073170732,3.107317073170732,6,6.474404761904762,336
1.4 A Broken Heart,614,1887,3.07328990228013,3.07328990228013,6,6.55737363869894,333
Allison Doren,613,1864,3.040783034257749,3.040783034257749,6,6.749581754898756,323
Season 2 DVD,612,1841,3.008169934640523,3.008169934640523,6,6.749581754898756,323
Melissa George,611,1818,2.9754500818330607,2.9754500818330607,6,6.749581754898756,323
Renée Rienne,610,1796,2.944262295081967,2.944262295081967,6,6.798504057298176,318
Mueller device,609,1775,2.9146141215106733,2.9146141215106733,6,6.872269696122669,317
1.12 The Box (Part 1),608,1754,2.8848684210526314,2.8848684210526314,6,6.923056057866185,316
Season 3 DVD,607,1733,2.8550247116968697,2.8550247116968697,6,6.923056057866185,316
Mia Maestro,606,1712,2.825082508250825,2.825082508250825,6,6.923056057866185,316
Central Intelligence Agency,605,1691,2.7950413223140496,2.7950413223140496,6,7.114235279283823,309
