removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
G.O.B.,1168,12765,10.928938356164384,10.928938356164384,0,3.027494295638525,830
Arrested Development,1167,12462,10.67866323907455,10.67866323907455,0,3.0495869102648765,826
George Bluth,1166,12195,10.458833619210978,10.458833619210978,0,3.0713499292005664,817
Michael Bluth,1165,11945,10.253218884120171,10.253218884120171,0,3.0902307773473416,815
Lucille Bluth,1164,11702,10.053264604810996,10.053264604810996,0,3.1129362572296233,810
Season Four,1163,11467,9.859845227858985,9.859845227858985,0,3.1263202806485255,796
Tobias Fünke,1162,11244,9.676419965576592,9.676419965576592,0,3.149578861240795,790
George Michael Bluth,1161,11024,9.49526270456503,9.49526270456503,0,3.1768027521007722,787
Lindsay Bluth Fünke,1160,10816,9.324137931034484,9.324137931034484,0,3.2043023076847508,782
Bluth family,1159,10612,9.156169111302848,9.156169111302848,0,3.2290680324099346,778
Buster Bluth,1158,10426,9.003454231433507,9.003454231433507,0,3.251944683073088,771
Maeby Fünke,1157,10248,8.857389801210026,8.857389801210026,0,3.282013344937627,766
Flight of the Phoenix,1156,10087,8.725778546712803,8.725778546712803,0,3.3070886207613897,760
Colony Collapse,1155,9929,8.596536796536796,8.596536796536796,0,3.3285174903223984,753
Development Arrested,1154,9785,8.479202772963605,8.479202772963605,0,3.3425804600957587,752
Michael,1153,9642,8.362532523850824,8.362532523850824,0,3.3425804600957587,752
Barry Zuckerkorn,1152,9513,8.2578125,8.2578125,0,3.3571603361102613,746
The One Where They Build a House,1151,9385,8.15377932232841,8.15377932232841,0,3.367204301075269,745
Lucille Austero,1150,9260,8.052173913043479,8.052173913043479,0,3.386304520538503,743
Pilot,1149,9137,7.952132288946911,7.952132288946911,0,3.4153878506381887,740
Season One,1148,9015,7.852787456445993,7.852787456445993,0,3.4256612796168557,739
Lindsay,1147,8903,7.761987794245859,7.761987794245859,0,3.4256612796168557,739
Righteous Brothers,1146,8791,7.671029668411867,7.671029668411867,0,3.436667365316801,738
Bluth Company,1145,8681,7.581659388646289,7.581659388646289,0,3.4461954809171624,735
Red Hairing,1144,8571,7.4921328671328675,7.4921328671328675,0,3.450816468421745,730
For British Eyes Only,1143,8463,7.404199475065616,7.404199475065616,0,3.462523930116523,729
Señoritis,1142,8355,7.316112084063048,7.316112084063048,0,3.469432272813869,725
The B. Team,1141,8249,7.2296231375985975,7.2296231375985975,0,3.4806612853031917,722
Mr. F,1140,8143,7.142982456140351,7.142982456140351,0,3.496059341678257,720
A New Start,1139,8039,7.057945566286216,7.057945566286216,0,3.502117435636989,716
George Michael,1138,7936,6.973637961335677,6.973637961335677,0,3.502117435636989,716
The One Where Michael Leaves,1137,7836,6.891820580474934,6.891820580474934,0,3.5161388814472794,713
Blockheads,1136,7737,6.810739436619718,6.810739436619718,0,3.537636822344504,710
Missing Kitty,1135,7639,6.730396475770925,6.730396475770925,0,3.549172379803743,707
Key Decisions,1134,7541,6.649911816578483,6.649911816578483,0,3.5689758987456357,704
Indian Takers,1133,7447,6.572815533980583,6.572815533980583,0,3.578403039954745,699
