removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Seeley Booth,2404,11701,4.8673044925124795,4.8673044925124795,1,3.305921445817695,709
Temperance Brennan,2403,11257,4.684560965459842,4.684560965459842,1,3.382306730711601,684
Jack Hodgins,2402,10892,4.5345545378850955,4.5345545378850955,1,3.4542642529140113,679
Angela Montenegro,2401,10558,4.397334443981674,4.397334443981674,1,3.5033912684376376,668
Camille Saroyan,2400,10240,4.266666666666667,4.266666666666667,1,3.5772873448681946,665
Bones (TV series),2399,9927,4.1379741558982905,4.1379741558982905,0,3.631161702263804,662
Emily Deschanel,2398,9638,4.0191826522101755,4.0191826522101755,0,3.6423371384037044,661
David Boreanaz,2397,9359,3.9044639132248644,3.9044639132248644,0,3.649629834000092,660
Michaela Conlin,2396,9085,3.791736227045075,3.791736227045075,0,3.654662355692285,659
Lance Sweets,2395,8836,3.6893528183716073,3.6893528183716073,0,3.7580806312300115,655
Tamara Taylor,2394,8589,3.587719298245614,3.587719298245614,0,3.7764141974701566,654
T.J Thyne,2393,8360,3.493522774759716,3.493522774759716,0,3.7787206756921803,653
John Francis Daley,2392,8201,3.4285117056856187,3.4285117056856187,0,3.785290209493653,652
Zack Addy,2391,8048,3.3659556670849016,3.3659556670849016,0,3.8663487871674493,640
I don't know what that means,2390,7926,3.316317991631799,3.316317991631799,0,3.952472760632061,639
Wendell Bray,2389,7808,3.268313101716199,3.268313101716199,0,4.040658353326817,637
Season 4,2388,7703,3.22571189279732,3.22571189279732,0,4.061546080324865,636
Caroline Julian,2387,7604,3.185588604943444,3.185588604943444,0,4.110037312684306,632
Season 2,2386,7507,3.1462699077954737,3.1462699077954737,0,4.142120091565417,631
James Aubrey,2385,7412,3.1077568134171907,3.1077568134171907,0,4.167291120269764,629
Season 11,2384,7321,3.0708892617449663,3.0708892617449663,0,4.197251597435976,628
Season 5,2383,7230,3.033990767939572,3.033990767939572,0,4.228144060412431,627
Season 8,2382,7145,2.999580184718724,2.999580184718724,0,4.249074358974359,625
Season 1,2381,7063,2.9664006719865603,2.9664006719865603,0,4.291484030950323,624
Daisy Wick,2380,6982,2.933613445378151,2.933613445378151,0,4.379839289179819,618
Bones and Booth,2379,6903,2.901639344262295,2.901639344262295,0,4.3863854241148275,615
Title Sequence,2378,6825,2.870058873002523,2.870058873002523,0,4.3863854241148275,615
Season 7,2377,6749,2.8392932267564155,2.8392932267564155,0,4.4165183244682265,614
Season 6,2376,6673,2.8085016835016834,2.8085016835016834,0,4.443508833658531,613
Arastoo Vaziri,2375,6599,2.7785263157894735,2.7785263157894735,0,4.545253124983009,607
Christine Booth,2374,6525,2.7485256950294863,2.7485256950294863,0,4.585955868314104,606
Eric Millegan,2373,6452,2.718921196797303,2.718921196797303,0,4.586954737014942,605
Season 9,2372,6384,2.6913996627318717,2.6913996627318717,0,4.603491403216861,601
Season 10,2371,6320,2.6655419654154366,2.6655419654154366,0,4.603491403216861,601
Season 3,2370,6257,2.640084388185654,2.640084388185654,0,4.603692399356964,597
Max Keenan,2369,6195,2.615027437737442,2.615027437737442,0,4.658177042978898,593
Clark Edison,2368,6133,2.589949324324324,2.589949324324324,0,4.755071840316614,591
Season 12,2367,6075,2.5665399239543727,2.5665399239543727,0,4.775383595653261,587
Parker Booth,2366,6017,2.543110735418428,2.543110735418428,0,4.825809464508095,584
Jeffersonian Institute,2365,5960,2.5200845665961946,2.5200845665961946,0,4.97085319179665,577
