removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Walter White,962,9510,9.885654885654885,9.885654885654885,1,3.2952011582317944,754
Breaking Bad,961,9179,9.551508844953174,9.551508844953174,1,3.3291169712222346,741
Jesse Pinkman,960,8860,9.229166666666666,9.229166666666666,0,3.3833425761608993,736
Hank Schrader,959,8624,8.992700729927007,8.992700729927007,0,3.4147880183988253,733
Gustavo Fring,958,8412,8.78079331941545,8.78079331941545,0,3.4395962405221665,729
Season 5,957,8205,8.573667711598747,8.573667711598747,0,3.476404030299241,727
Mike Ehrmantraut,956,8015,8.383891213389122,8.383891213389122,0,3.5116167247119763,723
Season 2,955,7826,8.19476439790576,8.19476439790576,0,3.5741602345157735,722
Season 3,954,7646,8.014675052410901,8.014675052410901,0,3.6069579663112346,720
Season 4,953,7478,7.8467995802728225,7.8467995802728225,0,3.71804330174862,718
Skyler White,952,7316,7.684873949579832,7.684873949579832,0,3.7372098428857337,713
Saul Goodman,951,7170,7.539432176656152,7.539432176656152,0,3.765901285330656,709
Season 1,950,7042,7.4126315789473685,7.4126315789473685,0,3.5758987194297167,637
List of deaths on Breaking Bad,949,6921,7.292939936775554,7.292939936775554,0,3.6078789679591936,636
Albuquerque,948,6802,7.175105485232067,7.175105485232067,0,3.6663042174095626,633
Steven Gomez,947,6691,7.065469904963042,7.065469904963042,0,3.674893290734824,626
Marie Schrader,946,6582,6.957716701902749,6.957716701902749,0,3.693731197995143,622
Walter White Jr.,945,6477,6.853968253968254,6.853968253968254,0,3.7001689367543027,616
Episode Title Meanings,944,6375,6.753177966101695,6.753177966101695,0,3.7001689367543027,616
Granite State,943,6277,6.656415694591728,6.656415694591728,0,3.7253889048822355,613
Blood Money,942,6182,6.562632696390658,6.562632696390658,0,3.7498325555267478,609
Blue Sky,941,6090,6.471838469713071,6.471838469713071,0,3.794569407517358,607
List of Breaking Bad episodes,940,6001,6.384042553191489,6.384042553191489,0,3.794569407517358,607
Pilot,939,5915,6.299254526091587,6.299254526091587,0,3.809487027134086,595
Felina,938,5831,6.2164179104477615,6.2164179104477615,0,3.8266956346579954,590
To'hajiilee,937,5749,6.135538954108858,6.135538954108858,0,3.835430342285352,587
Buried,936,5668,6.055555555555555,6.055555555555555,0,3.8467803519819546,584
Gliding Over All,935,5589,5.977540106951872,5.977540106951872,0,3.862350728392214,582
Juárez Cartel,934,5511,5.900428265524625,5.900428265524625,0,3.8711095465049103,577
Madrigal,933,5434,5.82422293676313,5.82422293676313,0,3.916261496821917,572
Ozymandias,932,5358,5.74892703862661,5.74892703862661,0,3.939726230847298,569
Tuco Salamanca,931,5283,5.674543501611171,5.674543501611171,0,3.9617968041527254,566
Salud,930,5210,5.602150537634409,5.602150537634409,0,3.9806062888344944,565
Antagonists,929,5139,5.531754574811625,5.531754574811625,0,3.9806062888344944,565
Confessions,928,5069,5.462284482758621,5.462284482758621,0,3.9877196333078686,561
Hermanos,927,5000,5.393743257820928,5.393743257820928,0,4.0003635708448355,558
DEA,926,4933,5.327213822894168,5.327213822894168,0,4.006722808467768,557
Caballo Sin Nombre,925,4866,5.26054054054054,5.26054054054054,0,4.01945230428985,555
Lydia Rodarte-Quayle,924,4800,5.194805194805195,5.194805194805195,0,4.0197078972216085,547
Crawl Space,923,4735,5.130010834236186,5.130010834236186,0,4.030147528312666,546
Breakage,922,4673,5.068329718004338,5.068329718004338,0,4.037394874872963,542
Face Off,921,4612,5.007600434310532,5.007600434310532,0,4.044023050120611,533
Mandala,920,4551,4.946739130434783,4.946739130434783,0,4.056022825425145,532
Sunset,919,4490,4.885745375408052,4.885745375408052,0,4.078293003588814,531
Weapons,918,4430,4.825708061002179,4.825708061002179,0,4.078293003588814,531
ABQ,917,4370,4.7655398037077425,4.7655398037077425,0,4.084736102837897,522
Negro y Azul,916,4311,4.706331877729258,4.706331877729258,0,4.097428735726608,518
Todd Alquist,915,4252,4.646994535519125,4.646994535519125,0,4.117539949378565,515
List of bit parts,914,4194,4.588621444201313,4.588621444201313,0,4.117539949378565,515
I.F.T.,913,4136,4.530120481927711,4.530120481927711,0,4.131608518835616,512
Bit by a Dead Bee,912,4078,4.4714912280701755,4.4714912280701755,0,4.147242946574051,507
