removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Desperate Housewives,1900,27569,14.51,14.51,11,3.2131864115636937,1480
Gabrielle Solis,1899,26932,14.182201158504476,14.182201158504476,11,3.2677283525480645,1468
Lynette Scavo,1898,26349,13.88250790305585,13.88250790305585,11,3.2983113797427284,1463
Mike Delfino,1897,25805,13.60305745914602,13.60305745914602,11,3.3179814472288207,1460
Bree Van de Kamp,1896,25263,13.324367088607595,13.324367088607595,11,3.3550642028839848,1446
Susan Delfino,1895,24768,13.070184696569921,13.070184696569921,11,3.3922552778158974,1434
Mary Alice Young,1894,24366,12.864836325237592,12.864836325237592,11,3.420749755465517,1429
Julie Mayer,1893,23987,12.671421024828314,12.671421024828314,11,3.448088875765852,1426
Edie Britt,1892,23621,12.484672304439746,12.484672304439746,11,3.471346594947341,1408
Karen McCluskey,1891,23275,12.30830248545743,12.30830248545743,11,3.4961247068420516,1401
Character appearances,1890,22932,12.133333333333333,12.133333333333333,11,3.4974724814548934,1393
Andrew Van de Kamp,1889,22606,11.967178401270514,11.967178401270514,11,3.5168718794736633,1388
Orson Hodge,1888,22290,11.80614406779661,11.80614406779661,11,3.537742255818796,1383
Tom Scavo,1887,21976,11.645998940116588,11.645998940116588,11,3.5505698687865146,1379
Carlos Solis,1886,21670,11.489925768822905,11.489925768822905,11,3.567781712473573,1376
Parker Scavo,1885,21378,11.341114058355437,11.341114058355437,11,3.5862289040774935,1374
Porter Scavo,1884,21101,11.200106157112527,11.200106157112527,11,3.59417377454264,1372
Season 8,1883,20855,11.075411577270314,11.075411577270314,11,3.6597476671909255,1364
Penny Scavo,1882,20621,10.956960680127525,10.956960680127525,11,3.6811029013766703,1357
Preston Scavo,1881,20390,10.839978734715578,10.839978734715578,11,3.7106024516670573,1355
Finishing the Hat,1880,20161,10.723936170212767,10.723936170212767,11,3.7486335223874256,1338
Danielle Van de Kamp,1879,19937,10.610431080361895,10.610431080361895,11,3.7698461045568483,1332
Juanita Solis,1878,19723,10.502129925452609,10.502129925452609,11,3.7909741830925814,1328
Paul Young,1877,19510,10.394246137453383,10.394246137453383,11,3.804827684339338,1326
Felicity Huffman,1876,19305,10.290511727078892,10.290511727078892,11,3.8059322806817533,1325
Katherine Mayfair,1875,19100,10.186666666666667,10.186666666666667,11,3.817863403556077,1323
Marcia Cross,1874,18901,10.085912486659552,10.085912486659552,11,3.8188445465487684,1322
Teri Hatcher,1873,18703,9.985584623598506,9.985584623598506,11,3.8198162549033103,1321
