removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
33,303,1055,3.4818481848184817,3.4818481848184817,5,4.500140884756269,169
Colonial Fleet,302,1001,3.314569536423841,3.314569536423841,5,4.583996061501174,163
William Adama,301,950,3.1561461794019934,3.1561461794019934,5,4.770990566037736,160
Battlestar Galactica (1978 Series),300,902,3.006666666666667,3.006666666666667,5,4.6707193515704155,141
Battlestar Galactica (2004 Series),299,861,2.879598662207358,2.879598662207358,5,4.874855424473745,132
Twelve Colonies,298,823,2.761744966442953,2.761744966442953,5,5.029857073643411,129
Battlestar Galactica (TV miniseries),297,789,2.6565656565656566,2.6565656565656566,5,5.38215873015873,126
Battlestar,296,761,2.570945945945946,2.570945945945946,5,5.54281405717283,124
Cylon,295,733,2.4847457627118645,2.4847457627118645,5,5.520591763294682,123
Galactica,294,706,2.401360544217687,2.401360544217687,5,5.705200637404027,118
Caprica,293,682,2.3276450511945392,2.3276450511945392,5,5.6859596713965646,104
Battlestar Triton-TNS,292,659,2.256849315068493,2.256849315068493,5,5.732202580028667,92
Helena Cain,291,636,2.185567010309278,2.185567010309278,5,5.873432601880878,88
