removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Yuki Nagato,692,3749,5.417630057803469,5.417630057803469,0,3.647152402163538,449
Haruhi Suzumiya,691,3537,5.118668596237337,5.118668596237337,0,3.7498678136375654,444
Kyon,690,3332,4.828985507246377,4.828985507246377,0,3.802043859738721,443
Mikuru Asahina,689,3179,4.613933236574746,4.613933236574746,0,3.8478365838809228,437
Itsuki Koizumi,688,3049,4.431686046511628,4.431686046511628,0,3.9027950142988184,431
North High,687,2927,4.260553129548763,4.260553129548763,0,3.9865672466169566,426
SOS Brigade,686,2822,4.113702623906706,4.113702623906706,0,4.011218163165172,424
Haruhi Suzumiya Manga,685,2724,3.9766423357664236,3.9766423357664236,0,4.103826420002891,408
The Melancholy of Haruhi Suzumiya (anime),684,2636,3.853801169590643,3.853801169590643,0,4.278941311852704,396
Tsuruya,683,2558,3.7452415812591506,3.7452415812591506,0,4.382027285750626,387
Ryoko Asakura,682,2484,3.6422287390029324,3.6422287390029324,0,4.377854698814355,355
The Melancholy of Haruhi Suzumiya,681,2416,3.5477239353891337,3.5477239353891337,0,4.5072467677258095,334
The Melancholy of Haruhi-chan Suzumiya (ONA),680,2349,3.4544117647058825,3.4544117647058825,0,4.556164690087268,328
Taniguchi,679,2284,3.3637702503681886,3.3637702503681886,0,4.625223544795492,323
Class 1-5,678,2224,3.28023598820059,3.28023598820059,0,4.772349010213087,309
Timeline,677,2164,3.1964549483013296,3.1964549483013296,0,4.772349010213087,309
The Disappearance of Haruhi Suzumiya (film),676,2108,3.1183431952662723,3.1183431952662723,0,4.682414273627631,284
Haruhi Suzumiya Light Novel,675,2057,3.0474074074074076,3.0474074074074076,0,4.795389494855728,279
Kyon's Sister,674,2010,2.9821958456973294,2.9821958456973294,0,4.920540184453228,276
Haruhi,673,1964,2.9182763744427933,2.9182763744427933,0,4.920540184453228,276
List of Haruhi Suzumiya albums,672,1918,2.8541666666666665,2.8541666666666665,0,4.920540184453228,276
The Disappearance of Nagato Yuki-chan (anime),671,1873,2.7913561847988078,2.7913561847988078,0,4.858486519607843,256
Emiri Kimidori,670,1830,2.7313432835820897,2.7313432835820897,0,4.982997678649853,253
Book timeline,669,1790,2.6756352765321374,2.6756352765321374,0,4.982997678649853,253
The Melancholy of Haruhi-chan Suzumiya,668,1753,2.624251497005988,2.624251497005988,0,5.057856440511308,226
