removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Frank Underwood,401,2693,6.71571072319202,6.71571072319202,26,3.0233975673090066,271
Season 1,400,2511,6.2775,6.2775,26,3.2964230353016877,262
Season 2,399,2371,5.942355889724311,5.942355889724311,26,3.477778453307393,257
House of Cards,398,2254,5.663316582914573,5.663316582914573,26,3.573314950980392,256
Claire Underwood,397,2144,5.400503778337532,5.400503778337532,26,3.6841083974573436,245
Doug Stamper,396,2037,5.143939393939394,5.143939393939394,26,3.791866113534021,238
Season 3,395,1937,4.903797468354431,4.903797468354431,26,3.982404090162711,232
Garrett Walker,394,1856,4.710659898477157,4.710659898477157,26,4.026466679324093,230
Season 4,393,1781,4.531806615776081,4.531806615776081,26,4.234162895927602,221
Peter Russo,392,1712,4.36734693877551,4.36734693877551,26,4.229186602870813,210
Chapter 1,391,1653,4.227621483375959,4.227621483375959,26,4.368580272970311,207
Zoe Barnes,390,1597,4.0948717948717945,4.0948717948717945,26,4.437984685168024,203
President of the United States,389,1546,3.974293059125964,3.974293059125964,26,4.4414449059119105,198
Remy Danton,388,1495,3.8530927835051547,3.8530927835051547,26,4.5164788205758235,194
Lucas Goodwin,387,1448,3.7416020671834627,3.7416020671834627,26,4.643951501791127,191
Vice President of the United States,386,1402,3.6321243523316062,3.6321243523316062,26,4.740527932643077,188
Chapter 2,385,1357,3.5246753246753246,3.5246753246753246,26,4.822377215925603,186
Raymond Tusk,384,1313,3.4192708333333335,3.4192708333333335,26,4.931728492501973,182
"Washington, D.C.",383,1270,3.3159268929503916,3.3159268929503916,26,4.931728492501973,182
Jackie Sharp,382,1228,3.2146596858638743,3.2146596858638743,26,5.296705389449628,178
Companies,381,1187,3.115485564304462,3.115485564304462,26,5.296705389449628,178
Linda Vasquez,380,1153,3.0342105263157895,3.0342105263157895,25,5.4254268046780485,173
Rachel Posner,379,1119,2.9525065963060686,2.9525065963060686,25,5.493213710605015,162
List of Presidents of the United States,378,1086,2.873015873015873,2.873015873015873,25,5.482181730226558,158
Edward Meechum,377,1055,2.7984084880636604,2.7984084880636604,25,5.218942879587027,134
