removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Don Draper,604,6646,11.003311258278146,11.003311258278146,2,3.3504613136019,534
Roger Sterling,603,6487,10.75787728026534,10.75787728026534,2,3.3761397150268273,531
Pete Campbell,602,6336,10.524916943521594,10.524916943521594,2,3.405910384681732,528
Peggy Olson,601,6194,10.306156405990016,10.306156405990016,2,3.4374592499798537,523
Sally Draper,600,6076,10.126666666666667,10.126666666666667,2,3.4790610641766713,520
Ken Cosgrove,599,5962,9.953255425709516,9.953255425709516,2,3.4977808765537612,517
Joan Harris,598,5849,9.780936454849499,9.780936454849499,2,3.5610913133528266,513
Bertram Cooper,597,5739,9.613065326633166,9.613065326633166,2,3.578138346611999,508
Shut the Door. Have a Seat,596,5632,9.449664429530202,9.449664429530202,2,3.5964676349291733,507
Harry Crane,595,5528,9.29075630252101,9.29075630252101,2,3.612306320805327,504
The Chrysanthemum and the Sword,594,5425,9.132996632996633,9.132996632996633,2,3.6262265208858984,493
Seasons,593,5333,8.993254637436761,8.993254637436761,2,3.6262265208858984,493
Christmas Comes But Once a Year,592,5243,8.85641891891892,8.85641891891892,2,3.637669546346146,490
For Those Who Think Young,591,5153,8.71912013536379,8.71912013536379,2,3.66525864091991,489
Chinese Wall,590,5064,8.583050847457628,8.583050847457628,2,3.7161634598321798,487
The Suitcase,589,4979,8.453310696095077,8.453310696095077,2,3.7389334351533665,486
The Grown-Ups,588,4895,8.32482993197279,8.32482993197279,2,3.7487466420272746,484
The Hobo Code,587,4811,8.195911413969336,8.195911413969336,2,3.766964768949254,483
Flight 1,586,4729,8.069965870307167,8.069965870307167,2,3.785438322938323,481
Public Relations,585,4648,7.9452991452991455,7.9452991452991455,2,3.7889145116125844,468
Babylon,584,4568,7.821917808219178,7.821917808219178,2,3.7986343045798305,457
Season 1,583,4490,7.701543739279589,7.701543739279589,2,3.813192904656319,452
The Color Blue,582,4414,7.584192439862543,7.584192439862543,2,3.8227593003202758,451
Tomorrowland,581,4340,7.469879518072289,7.469879518072289,2,3.8377127277085332,448
Blowing Smoke,580,4268,7.358620689655172,7.358620689655172,2,3.8628795848952535,443
Sterling Cooper Draper Pryce,579,4197,7.248704663212435,7.248704663212435,2,3.8981807874665018,441
The Rejected,578,4127,7.140138408304498,7.140138408304498,2,3.9342112106177387,439
Wee Small Hours,577,4058,7.032928942807626,7.032928942807626,2,3.9463922070833246,437
The Wheel,576,3989,6.925347222222222,6.925347222222222,2,3.9543480805866262,434
Guy Walks Into an Advertising Agency,575,3921,6.8191304347826085,6.8191304347826085,2,3.9756329655290394,433
New Amsterdam,574,3853,6.7125435540069684,6.7125435540069684,2,3.987594587130627,426
Waldorf Stories,573,3786,6.607329842931938,6.607329842931938,2,4.012238434566226,421
Meditations in an Emergency,572,3720,6.503496503496503,6.503496503496503,2,4.031694282353747,419
Indian Summer,571,3654,6.399299474605955,6.399299474605955,2,4.040096618357488,415
Ladies Room,570,3590,6.298245614035087,6.298245614035087,2,4.059280895178542,413
5G,569,3526,6.1968365553602816,6.1968365553602816,2,4.061467215878981,408
The Benefactor,568,3463,6.096830985915493,6.096830985915493,2,4.064781551300569,403
The Summer Man,567,3400,5.99647266313933,5.99647266313933,2,4.107219513405541,402
Maidenform,566,3338,5.897526501766785,5.897526501766785,2,4.121144569967632,399
Six Month Leave,565,3276,5.7982300884955755,5.7982300884955755,2,4.151051225902814,398
Smoke Gets in Your Eyes,564,3215,5.700354609929078,5.700354609929078,2,4.165167155346695,387
Shoot,563,3154,5.602131438721137,5.602131438721137,2,4.182364359629817,383
Season 5,562,3093,5.50355871886121,5.50355871886121,2,4.253018372703412,381
My Old Kentucky Home,561,3032,5.404634581105169,5.404634581105169,2,4.287661435911679,380
Seven Twenty Three,560,2972,5.307142857142857,5.307142857142857,2,4.304616716226215,379
The Inheritance,559,2912,5.209302325581396,5.209302325581396,2,4.315336898395722,375
"A Little Kiss, Part 1",558,2853,5.112903225806452,5.112903225806452,2,4.33124256283064,374
Hands and Knees,557,2795,5.017953321364453,5.017953321364453,2,4.383271075954003,370
The Other Woman,556,2737,4.922661870503597,4.922661870503597,2,4.399669725887707,363
Nixon vs. Kennedy,555,2679,4.827027027027027,4.827027027027027,2,4.430673347753692,359
Marriage of Figaro,554,2622,4.7328519855595665,4.7328519855595665,2,4.460099870360589,354
At the Codfish Ball,553,2565,4.638336347197106,4.638336347197106,2,4.413841616380772,344
Sterling Cooper Advertising Agency,552,2508,4.543478260869565,4.543478260869565,2,4.42573956564483,335
The Phantom,551,2451,4.448275862068965,4.448275862068965,2,4.4478439989014005,331
The Good News,550,2395,4.3545454545454545,4.3545454545454545,2,4.486503744122598,322
A Night to Remember,549,2339,4.260473588342441,4.260473588342441,2,4.522121699105212,318
The Gypsy and the Hobo,548,2283,4.166058394160584,4.166058394160584,2,4.5381860361002015,314
Souvenir,547,2228,4.073126142595978,4.073126142595978,2,4.546762896255136,307
The Beautiful Girls,546,2174,3.9816849816849818,3.9816849816849818,2,4.645926382257816,302
Three Sundays,545,2121,3.891743119266055,3.891743119266055,2,4.659739284739285,297
The Mountain King,544,2068,3.801470588235294,3.801470588235294,2,4.767947088452667,292
Love Among the Ruins,543,2015,3.710865561694291,3.710865561694291,2,4.798293636686811,291
The Arrangements,542,1963,3.621771217712177,3.621771217712177,2,4.839256535947713,289
Long Weekend,541,1911,3.532347504621072,3.532347504621072,2,4.874297018862291,284
Dark Shadows,540,1862,3.448148148148148,3.448148148148148,2,4.914691571181918,277
Mystery Date,539,1814,3.3654916512059367,3.3654916512059367,1,5.0025823451910405,276
Far Away Places,538,1766,3.282527881040892,3.282527881040892,1,5.031487543694168,269
