removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Mitchell Pritchett,721,7841,10.875173370319,10.875173370319,1,2.760084373555247,642
Jay Pritchett,720,7564,10.505555555555556,10.505555555555556,1,2.776802271673621,640
Cameron Tucker,719,7289,10.13769123783032,10.13769123783032,1,2.7930369865295734,637
Claire Dunphy,718,7031,9.792479108635098,9.792479108635098,1,3.1930276459922005,635
Phil Dunphy,717,6785,9.463040446304044,9.463040446304044,1,3.217057112004319,633
Luke Dunphy,716,6556,9.156424581005586,9.156424581005586,1,3.279991447186376,631
Gloria Pritchett,715,6332,8.855944055944056,8.855944055944056,1,3.303547497847145,627
Haley Dunphy,714,6134,8.591036414565826,8.591036414565826,1,3.326935938593242,624
Manny Delgado,713,5940,8.330995792426368,8.330995792426368,1,3.3544413277232352,621
Alex Dunphy,712,5763,8.094101123595506,8.094101123595506,1,3.3984163830376795,619
Modern Family,711,5609,7.888888888888889,7.888888888888889,1,3.4610858510977125,604
Episode Guide,710,5458,7.687323943661972,7.687323943661972,1,3.46293552827237,602
Lily Tucker-Pritchett,709,5315,7.496473906911143,7.496473906911143,1,3.5069587310152555,597
Season 4,708,5182,7.3192090395480225,7.3192090395480225,1,3.569821217077435,596
Season 2,707,5055,7.1499292786421496,7.1499292786421496,1,3.6273660979543334,595
Season 5,706,4934,6.9886685552407934,6.9886685552407934,1,3.658200895974926,594
Season 1,705,4815,6.829787234042553,6.829787234042553,1,3.729681304407274,593
Season 3,704,4702,6.6789772727272725,6.6789772727272725,1,3.7696210181001986,590
Season 6,703,4601,6.544807965860597,6.544807965860597,1,3.7986931614751165,589
The Wedding (Part 1),702,4518,6.435897435897436,6.435897435897436,1,3.8098991987593696,584
DeDe Pritchett,701,4445,6.340941512125535,6.340941512125535,1,3.850537123864918,581
Bill Wrubel,700,4376,6.251428571428572,6.251428571428572,1,3.888422369126318,580
Ryan Case,699,4308,6.163090128755365,6.163090128755365,1,3.8976967806323994,579
Moderna Oikogeneia,698,4246,6.083094555873926,6.083094555873926,1,3.899408106600781,578
Won't You Be Our Neighbor,697,4184,6.0028694404591105,6.0028694404591105,1,3.9092195020391167,572
Joe Pritchett,696,4126,5.92816091954023,5.92816091954023,1,3.931198792049308,569
The Wedding (Part 2),695,4068,5.853237410071943,5.853237410071943,1,3.9473579249786552,567
The Big Guns,694,4013,5.782420749279539,5.782420749279539,1,3.9653397542137028,566
Closet? You'll Love It!,693,3959,5.712842712842713,5.712842712842713,1,3.9764163764277543,563
Travels with Scout,692,3906,5.644508670520231,5.644508670520231,1,3.991228576374863,559
Fight or Flight,691,3855,5.578871201157742,5.578871201157742,1,3.995531142653445,556
