removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Sora,171,1101,6.43859649122807,6.43859649122807,1,1.9595803233574132,114
Jibril,170,1036,6.094117647058823,6.094117647058823,1,1.9807170205360252,112
"No Game, No Life",169,972,5.7514792899408285,5.7514792899408285,1,3.001834862385321,110
Shiro,168,912,5.428571428571429,5.428571428571429,1,3.0571695548759767,109
Imanity,167,857,5.131736526946108,5.131736526946108,1,3.142263759086189,108
Exceed,166,805,4.849397590361446,4.849397590361446,1,3.195940594059406,101
Episode 01,165,758,4.593939393939394,4.593939393939394,1,3.292609182530795,95
Stephanie Dola,164,720,4.390243902439025,4.390243902439025,1,3.3665790731008123,92
Volume 1,163,684,4.196319018404908,4.196319018404908,1,3.4855921855921856,91
Volume 2,162,651,4.018518518518518,4.018518518518518,1,3.533333333333333,90
Disboard,161,620,3.8509316770186337,3.8509316770186337,1,3.6363636363636362,89
Flügel,160,591,3.69375,3.69375,1,3.73483025928896,87
Episode 04,159,564,3.547169811320755,3.547169811320755,1,3.79593837535014,85
Werebeast,158,538,3.4050632911392404,3.4050632911392404,1,4.005450372920253,84
Volume 6,157,513,3.267515923566879,3.267515923566879,1,4.107405230678813,83
Episode 02,156,489,3.1346153846153846,3.1346153846153846,1,3.966336295283664,77
Tet,155,465,3,3,1,4.079337899543379,73
Volume 5,154,444,2.883116883116883,2.883116883116883,1,4.1112676056338024,71
Episode 05,153,424,2.7712418300653594,2.7712418300653594,1,4.234654731457801,69
Volume 3,152,405,2.664473684210526,2.664473684210526,1,4.257901668129938,68
Episode 08,151,387,2.562913907284768,2.562913907284768,1,4.3375,65
Plum,150,371,2.473333333333333,2.473333333333333,0,4.419394841269841,64
Miko,149,355,2.38255033557047,2.38255033557047,0,4.444700460829493,63
Episode 03,148,339,2.2905405405405403,2.2905405405405403,0,4.422033898305084,60
Azriel,147,324,2.204081632653061,2.204081632653061,0,4.487421383647798,54
