removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Scrubs,1838,14137,7.691512513601741,7.691512513601741,27,3.4554306941374744,1310
J.D.,1837,13500,7.348938486663037,7.348938486663037,27,3.555805305805306,1288
Sacred Heart Hospital,1836,13033,7.098583877995643,7.098583877995643,27,3.665491000812278,1243
Christopher Turk,1835,12602,6.867574931880109,6.867574931880109,27,3.665491000812278,1243
Elliot Reid,1834,12187,6.645038167938932,6.645038167938932,27,3.7195998268801813,1226
Perry Cox,1833,11795,6.43480632842335,6.43480632842335,27,3.7195998268801813,1226
Janitor,1832,11451,6.2505458515283845,6.2505458515283845,27,3.7758598407243857,1213
Carla Espinosa,1831,11110,6.067722555980339,6.067722555980339,27,3.7832508322477927,1176
Robert Kelso,1830,10796,5.899453551912568,5.899453551912568,27,3.7888380150778103,1132
Season Eight,1829,10546,5.765992345544013,5.765992345544013,26,3.8491539020427075,1127
Season One,1828,10308,5.638949671772429,5.638949671772429,25,3.950552787663108,1125
Scrubs Wiki:Calendar,1827,10090,5.522714833059661,5.522714833059661,25,3.950552787663108,1125
Season Six,1826,9877,5.409090909090909,5.409090909090909,24,4.010129667388811,1121
My Finale,1825,9665,5.295890410958904,5.295890410958904,24,4.056177224090392,1109
Season Two,1824,9455,5.183662280701754,5.183662280701754,23,4.123975127123654,1104
Season Four,1823,9255,5.076796489303346,5.076796489303346,22,4.212829159838141,1098
Season Five,1822,9065,4.97530186608123,4.97530186608123,21,4.285373433399513,1094
Season Three,1821,8878,4.875343218012081,4.875343218012081,20,4.382599080046082,1091
Episode themes,1820,8703,4.781868131868132,4.781868131868132,20,4.382599080046082,1091
Season Nine,1819,8537,4.6932380428807035,4.6932380428807035,19,4.489371159853087,1080
Jordan Sullivan,1818,8377,4.607810781078108,4.607810781078108,19,4.539593044621961,1067
Ted Buckland,1817,8223,4.525591634562465,4.525591634562465,19,4.581889238205149,1052
Season Seven,1816,8072,4.4449339207048455,4.4449339207048455,18,4.723659148144293,1047
Todd Quinlan,1815,7924,4.3658402203856745,4.3658402203856745,18,4.723659148144293,1047
List of flashbacks in Scrubs,1814,7789,4.293825799338478,4.293825799338478,18,4.723659148144293,1047
List of music featured in Scrubs,1813,7684,4.2382790954219525,4.2382790954219525,18,4.742638728482649,1045
Bill Lawrence,1812,7583,4.184878587196468,4.184878587196468,18,4.775613315598906,1041
Scrubs: Interns,1811,7485,4.13307564881281,4.13307564881281,17,4.810646331531799,1040
List of J.D.'s girl names,1810,7393,4.084530386740331,4.084530386740331,17,4.881786240507764,1038
Laverne Roberts,1809,7306,4.03869541182974,4.03869541182974,17,4.88812187664574,1028
Denise Mahoney,1808,7219,3.9928097345132745,3.9928097345132745,17,4.907138629304511,1019
My Musical,1807,7141,3.9518539014941894,3.9518539014941894,16,4.941432858244058,1009
