removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
True Blood,1848,21683,11.733225108225108,11.733225108225108,30,3.6174056298438875,1310
HBO,1847,20660,11.18570655116405,11.18570655116405,30,3.610151098787744,1303
Season 5,1846,20120,10.899241603466956,10.899241603466956,29,3.7112287558476935,1300
Bill Compton,1845,19687,10.670460704607047,10.670460704607047,29,3.7545699272827067,1298
Sookie Stackhouse,1844,19284,10.45770065075922,10.45770065075922,29,3.7708196291529625,1296
Season 4,1843,18894,10.251763429191536,10.251763429191536,29,3.826307036329147,1292
Season 3,1842,18550,10.07057546145494,10.07057546145494,29,3.8740325089018186,1291
Eric Northman,1841,18213,9.892992938620315,9.892992938620315,29,3.8928245667376102,1288
Vampire,1840,17891,9.723369565217391,9.723369565217391,29,3.9652934547603578,1279
"Bon Temps, Louisiana",1839,17574,9.556280587275694,9.556280587275694,29,4.00612168401051,1272
Season 1,1838,17261,9.391186071817193,9.391186071817193,29,4.0474192898852275,1269
Season 7,1837,16958,9.231355470876428,9.231355470876428,29,4.111289021114747,1259
Season 6,1836,16660,9.074074074074074,9.074074074074074,29,4.178707463141066,1256
Jason Stackhouse,1835,16366,8.918801089918256,8.918801089918256,29,4.2030970218011525,1255
Tara Thornton,1834,16095,8.775899672846238,8.775899672846238,29,4.236709832134292,1251
Louisiana,1833,15838,8.640480087288598,8.640480087288598,29,4.240992153722979,1250
Season 2,1832,15586,8.50764192139738,8.50764192139738,29,4.307618962486219,1243
Human,1831,15335,8.375204806116876,8.375204806116876,29,4.328898358690948,1226
Sam Merlotte,1830,15107,8.255191256830601,8.255191256830601,29,4.34356101614848,1223
Jessica Hamby,1829,14885,8.13832695462001,8.13832695462001,29,4.380076043677891,1218
Lafayette Reynolds,1828,14677,8.028993435448578,8.028993435448578,29,4.402207274641293,1210
Andy Bellefleur,1827,14471,7.920634920634921,7.920634920634921,29,4.412608465280789,1206
Russell Edgington,1826,14280,7.8203723986856515,7.8203723986856515,29,4.444014878598835,1198
Arlene Fowler Bellefleur,1825,14107,7.72986301369863,7.72986301369863,28,4.452307572903217,1191
Fangtasia,1824,13950,7.6480263157894735,7.6480263157894735,28,4.478870034136447,1190
Pam Swynford De Beaufort,1823,13797,7.568294020844761,7.568294020844761,28,4.47928209581705,1176
Steve Newlin,1822,13651,7.492316136114161,7.492316136114161,27,4.501435485193996,1169
Alcide Herveaux,1821,13509,7.41845140032949,7.41845140032949,27,4.518442415129615,1167
Terry Bellefleur,1820,13367,7.344505494505494,7.344505494505494,27,4.5311967213599145,1164
True Death,1819,13227,7.271577789994502,7.271577789994502,27,4.581750026213694,1156
Hoyt Fortenberry,1818,13091,7.200770077007701,7.200770077007701,27,4.595503253512425,1154
Merlotte's Bar and Grill,1817,12958,7.131535498073748,7.131535498073748,27,4.5906429807113405,1146
True Blood Trading Cards,1816,12827,7.063325991189427,7.063325991189427,27,4.5906429807113405,1146
Vampire Authority,1815,12697,6.9955922865013775,6.9955922865013775,27,4.628191858047225,1140
Vampire Blood,1814,12582,6.936052921719956,6.936052921719956,27,4.63276580655038,1132
She's Not There,1813,12469,6.877551020408164,6.877551020408164,27,4.627461947699182,1116
In the Beginning,1812,12357,6.819536423841059,6.819536423841059,27,4.627461947699182,1116
Marnie Stonebrook,1811,12245,6.7614577581446715,6.7614577581446715,27,4.660481587775601,1113
Sarah Newlin,1810,12135,6.704419889502763,6.704419889502763,27,4.686983986168401,1112
Holly Cleary,1809,12030,6.650082918739635,6.650082918739635,26,4.692912110627521,1109
Authority Always Wins,1808,11927,6.59679203539823,6.59679203539823,26,4.700049912857061,1106
Nora Gainesborough,1807,11828,6.545655783065855,6.545655783065855,25,4.73380668963837,1099
Cold Grey Light of Dawn,1806,11730,6.495016611295681,6.495016611295681,25,4.746152051461521,1096
Nan Flanagan,1805,11634,6.445429362880886,6.445429362880886,25,4.762886140990281,1094
Faerie,1804,11539,6.396341463414634,6.396341463414634,25,4.782684060284647,1088
Antonia Gavilán de Logroño,1803,11447,6.348863006100943,6.348863006100943,25,4.816275407346863,1082
Tru Blood,1802,11356,6.30188679245283,6.30188679245283,25,4.8222965486533225,1077
Godric,1801,11267,6.255968906163242,6.255968906163242,25,4.844158548839728,1074
Stephen Moyer,1800,11178,6.21,6.21,25,4.8509775215256425,1073
Drew Marshall,1799,11091,6.165091717620901,6.165091717620901,25,4.876106545464155,1066
Spellbound,1798,11005,6.120689655172414,6.120689655172414,25,4.866907290288838,1059
Debbie Pelt,1797,10921,6.077351140790206,6.077351140790206,25,4.882557805543588,1056
Sunset,1796,10839,6.035077951002227,6.035077951002227,25,4.892360079928138,1045
You Smell Like Dinner,1795,10757,5.992757660167131,5.992757660167131,25,4.892360079928138,1045
Adele Stackhouse,1794,10676,5.9509476031215165,5.9509476031215165,25,4.903804968720498,1044
Somebody That I Used to Know,1793,10595,5.909090909090909,5.909090909090909,25,4.903804968720498,1044
Maryann Forrester,1792,10515,5.867745535714286,5.867745535714286,25,4.937514865560024,1042
Turn! Turn! Turn!,1791,10435,5.8263539921831375,5.8263539921831375,25,4.944874274661509,1034
Save Yourself,1790,10357,5.786033519553072,5.786033519553072,25,4.947945511305222,1033
Hopeless,1789,10279,5.745667970933482,5.745667970933482,25,4.947945511305222,1033
Life Matters,1788,10201,5.7052572706935125,5.7052572706935125,25,4.947945511305222,1033
"If You Love Me, Why Am I Dyin'?",1787,10124,5.6653609401231115,5.6653609401231115,25,4.9475077574742645,1028
Let's Boot and Rally,1786,10048,5.625979843225084,5.625979843225084,25,4.925732043450321,1017
Everybody Wants to Rule the World,1785,9972,5.586554621848739,5.586554621848739,25,4.926671648022349,1013
Lettie Mae Daniels,1784,9897,5.547645739910314,5.547645739910314,25,4.934955312810327,1008
We’ll Meet Again,1783,9822,5.508693213684801,5.508693213684801,25,4.934955312810327,1008
Maker,1782,9748,5.470258136924803,5.470258136924803,25,5.058010846585164,990
F**k the Pain Away,1781,9674,5.431779898933184,5.431779898933184,25,5.058010846585164,990
The Sun,1780,9601,5.393820224719101,5.393820224719101,25,5.025094633204393,983
"Gone, Gone, Gone",1779,9529,5.3563799887577295,5.3563799887577295,25,5.025094633204393,983
Let's Get Out of Here,1778,9458,5.319460067491564,5.319460067491564,25,5.030712522998286,978
Me and the Devil,1777,9387,5.2824985931344965,5.2824985931344965,25,4.983510766028976,962
May Be the Last Time,1776,9317,5.246058558558558,5.246058558558558,25,4.984976586888657,961
"Shreveport, Louisiana",1775,9247,5.209577464788732,5.209577464788732,25,4.980764057035244,945
Macklyn Warlow,1774,9178,5.173618940248027,5.173618940248027,25,5.0110158952675965,941
Maxine Fortenberry,1773,9110,5.138183869148336,5.138183869148336,25,5.044567096840683,935
"Who Are You, Really?",1772,9042,5.102708803611738,5.102708803611738,25,5.0437606578672565,934
"Whatever I Am, You Made Me",1771,8974,5.067193675889328,5.067193675889328,25,5.0437606578672565,934
Fire in the Hole,1770,8908,5.032768361581921,5.032768361581921,25,5.036958459205759,930
Jesus Velasquez,1769,8842,4.998304126625212,4.998304126625212,25,5.086636564220494,927
Hepatitis V,1768,8777,4.964366515837104,4.964366515837104,25,5.126048249227355,917
Alan Ball,1767,8712,4.930390492359932,4.930390492359932,25,5.194303771681115,914
I'm Alive and on Fire,1766,8648,4.896942242355606,4.896942242355606,25,5.189048383011062,911
Adilyn Bellefleur,1765,8585,4.864022662889519,4.864022662889519,25,5.217900361464718,910
Fellowship of the Sun,1764,8523,4.831632653061225,4.831632653061225,25,5.239016745331918,906
Strange Love,1763,8461,4.7992058990357345,4.7992058990357345,25,5.24136276273468,902
Jesus Gonna Be Here,1762,8400,4.767309875141884,4.767309875141884,25,5.252459836359293,897
You're No Good,1761,8339,4.735377626348665,4.735377626348665,25,5.285733568295152,895
Werewolf,1760,8278,4.703409090909091,4.703409090909091,25,5.332217450213462,885
9 Crimes,1759,8218,4.67197271176805,4.67197271176805,25,5.334800435497695,882
Burning Down the House,1758,8158,4.640500568828214,4.640500568828214,25,5.334800435497695,882
And When I Die,1757,8099,4.609561752988048,4.609561752988048,25,5.33765091321845,881
Beautifully Broken,1756,8041,4.579157175398633,4.579157175398633,25,5.327641190650985,877
Frenzy,1755,7983,4.5487179487179485,4.5487179487179485,25,5.335769080234834,876
I Smell a Rat,1754,7925,4.51824401368301,4.51824401368301,25,5.347307646521964,870
At Last,1753,7867,4.487735310895608,4.487735310895608,25,5.347307646521964,870
Nothing but the Blood,1752,7809,4.457191780821918,4.457191780821918,25,5.325936225885295,862
The First Taste,1751,7751,4.426613363792119,4.426613363792119,25,5.332717499932475,861
Lost Cause,1750,7694,4.396571428571429,4.396571428571429,25,5.335028562146357,860
Radioactive,1749,7637,4.366495140080046,4.366495140080046,25,5.344081515263569,855
I Wish I Was the Moon,1748,7580,4.336384439359268,4.336384439359268,25,5.391263367622696,853
