removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Twin Peaks,715,7792,10.897902097902097,10.897902097902097,1,2.8568771305765526,520
Dale Cooper,714,7490,10.490196078431373,10.490196078431373,1,2.9222062317251463,513
Twin Peaks (2017),713,7200,10.098176718092567,10.098176718092567,1,2.9397900947514497,467
Harry S. Truman,712,6970,9.789325842696629,9.789325842696629,1,2.9672566454423905,463
Twin Peaks: Fire Walk with Me,711,6754,9.49929676511955,9.49929676511955,1,3.048622813500862,451
Pilot,710,6563,9.243661971830987,9.243661971830987,1,3.0840014171474848,445
Laura Palmer,709,6392,9.015514809590973,9.015514809590973,1,3.1035425945132493,444
Donna Hayward,708,6235,8.806497175141242,8.806497175141242,1,3.1237571951857666,442
Benjamin Horne,707,6081,8.601131541725602,8.601131541725602,1,3.1299414271618415,437
Andy Brennan,706,5930,8.39943342776204,8.39943342776204,1,3.139355992844365,430
Episode 29,705,5781,8.2,8.2,1,3.1345449955824813,418
List of characters in Twin Peaks,704,5636,8.005681818181818,8.005681818181818,1,3.1345449955824813,418
Will Hayward,703,5494,7.8150782361308675,7.8150782361308675,1,3.1434448388537577,413
Audrey Horne,702,5356,7.62962962962963,7.62962962962963,1,3.159385199691413,411
Hawk,701,5221,7.44793152639087,7.44793152639087,1,3.174520305628578,404
"Twin Peaks, Washington",700,5088,7.268571428571429,7.268571428571429,1,3.1862777362884955,398
Episode 8,699,4956,7.090128755364807,7.090128755364807,1,3.2029116663387764,391
Lucy Moran,698,4837,6.929799426934097,6.929799426934097,1,3.2211846139427776,387
Norma Jennings,697,4721,6.773314203730273,6.773314203730273,1,3.2378508058452833,383
Bobby Briggs,696,4611,6.625,6.625,1,3.25270483449903,379
The Secret History of Twin Peaks,695,4502,6.477697841726619,6.477697841726619,0,3.3048228545071923,373
Leland Palmer,694,4397,6.335734870317003,6.335734870317003,0,3.3247832738398775,371
Episode 1,693,4295,6.1976911976911975,6.1976911976911975,0,3.3442102627548014,369
James Hurley,692,4196,6.063583815028902,6.063583815028902,0,3.366739424958603,365
Pete Martell,691,4099,5.931982633863965,5.931982633863965,0,3.377182779571785,362
Shelly Johnson,690,4004,5.802898550724637,5.802898550724637,0,3.4016588599617186,359
Episode 18,689,3911,5.6763425253991295,5.6763425253991295,0,3.411119503981368,357
Episode 21,688,3819,5.550872093023256,5.550872093023256,0,3.426618135780978,356
Episode 3,687,3728,5.426491994177583,5.426491994177583,0,3.435892511323442,354
Episode 19,686,3639,5.30466472303207,5.30466472303207,0,3.4557671957671956,351
Episode 17,685,3551,5.183941605839416,5.183941605839416,0,3.4682831494915365,348
Episode 2,684,3463,5.062865497076023,5.062865497076023,0,3.484349752627809,347
Episode 14,683,3377,4.9443631039531475,4.9443631039531475,0,3.502140208965285,345
Episode 9,682,3296,4.832844574780059,4.832844574780059,0,3.5178611239731783,342
Episode 5,681,3215,4.720998531571219,4.720998531571219,0,3.5527686734517854,341
Episode 4,680,3137,4.613235294117647,4.613235294117647,0,3.5684248415360034,338
Episode 28,679,3060,4.506627393225331,4.506627393225331,0,3.574796675306104,335
Episode 20,678,2984,4.40117994100295,4.40117994100295,0,3.594196606244799,333
David Lynch,677,2909,4.296898079763663,4.296898079763663,0,3.5904311251314405,318
Episode 16,676,2835,4.193786982248521,4.193786982248521,0,3.6149529875644526,315
Episode 27,675,2764,4.094814814814815,4.094814814814815,0,3.6310211354141066,313
Episode 6,674,2694,3.9970326409495547,3.9970326409495547,0,3.644055569296727,312
Episode 10,673,2624,3.898959881129272,3.898959881129272,0,3.661207343636552,311
Episode 11,672,2556,3.8035714285714284,3.8035714285714284,0,3.677131929559114,309
Episode 24,671,2489,3.709388971684054,3.709388971684054,0,3.685369696195525,307
Episode 26,670,2422,3.6149253731343283,3.6149253731343283,0,3.7089896067716706,306
Hank Jennings,669,2356,3.521674140508221,3.521674140508221,0,3.753593451450408,304
Episode 13,668,2292,3.431137724550898,3.431137724550898,0,3.7686600221483944,301
Episode 25,667,2231,3.3448275862068964,3.3448275862068964,0,3.79974358974359,300
Episode 12,666,2170,3.2582582582582584,3.2582582582582584,0,3.803724201545025,295
Episode 22,665,2110,3.172932330827068,3.172932330827068,0,3.8172457708573626,289
Episode 7,664,2051,3.088855421686747,3.088855421686747,0,3.836878910563121,286
Episode 15,663,1993,3.0060331825037707,3.0060331825037707,0,3.8773377754221245,282
Episode 23,662,1936,2.9244712990936557,2.9244712990936557,0,3.928473105991741,278
Windom Earle,661,1883,2.848714069591528,2.848714069591528,0,3.977783676177837,275
Twin Peaks: The Entire Mystery,660,1831,2.7742424242424244,2.7742424242424244,0,3.961008610086101,271
Gordon Cole,659,1782,2.7040971168437027,2.7040971168437027,0,4.0178660600344,269
Teresa Banks,658,1736,2.6382978723404253,2.6382978723404253,0,4.065937678673528,265
Twin Peaks in popular culture,657,1690,2.5722983257229832,2.5722983257229832,0,4.065937678673528,265
Lawrence Jacoby,656,1645,2.5076219512195124,2.5076219512195124,0,4.108420344535111,262
