removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Concert History,1106,2146,1.9403254972875226,1.9403254972875226,2,6.402582041834526,374
"""Weird Al"" Yankovic",1105,2049,1.8542986425339367,1.8542986425339367,2,6.804843895861425,311
Complete Song List (Wikipedia),1104,1982,1.7952898550724639,1.7952898550724639,2,6.804843895861425,311
"Album:The Essential ""Weird Al"" Yankovic",1103,1937,1.7561196736174072,1.7561196736174072,2,6.7979081179406915,308
"Album:The Essential ""Weird Al"" Yankovic 3.0",1102,1894,1.718693284936479,1.718693284936479,2,6.7979081179406915,308
Television,1101,1862,1.6911898274296095,1.6911898274296095,2,7.218233371780085,289
"""Weird Al"" Yankovic: The Ultimate Video Collection",1100,1830,1.6636363636363636,1.6636363636363636,2,7.620765396637662,267
Food Medley,1099,1799,1.6369426751592357,1.6369426751592357,2,7.5298411650342985,234
Concert Only Songs,1098,1769,1.6111111111111112,1.6111111111111112,2,7.5298411650342985,234
"Album:""Weird Al"" Yankovic",1097,1739,1.585232452142206,1.585232452142206,2,7.72749402303847,215
27,1096,1711,1.561131386861314,1.561131386861314,2,7.652254848976161,183
