(Madelyn, Peter Russo)
(United States order of precedence, United States Solicitor General)
(United States order of precedence, United States House of Representatives)
(United States order of precedence, United States Secretary of the Treasury)
(United States order of precedence, Al Gore)
(United States order of precedence, Frank Underwood)
(United States order of precedence, United States Senate)
(United States order of precedence, Donald Blythe)
(United States order of precedence, President of the United States)
(United States order of precedence, Vice President of the United States)
(United States order of precedence, White House Chief of Staff)
(United States order of precedence, President pro tempore of the United States Senate)
(United States order of precedence, Doug Stamper)
(United States order of precedence, Michael Kern)
(United States order of precedence, Executive Office of the President of the United States)
(United States order of precedence, Speaker of the United States House of Representatives)
(United States order of precedence, United States Secretary of State)
(Ashleigh Banfield, 2014 Underwood CNN Interview)
(Ashleigh Banfield, Claire Underwood)
(Will Conway, Frank Underwood)
(Will Conway, House of Cards)
(Will Conway, Season 4)
(Casey Giallo, Chapter 16)
(Casey Giallo, America Works)
(Casey Giallo, Democratic Party (United States))
(Casey Giallo, Frank Underwood)
(Casey Giallo, Willard Erickson)
(Casey Giallo, Donald Blythe)
(Casey Giallo, President of the United States)
(Casey Giallo, Chapter 29)
(Casey Giallo, Catherine Durant)
(Casey Giallo, Viktor Petrov)
(Casey Giallo, Chapter 46)
(Casey Giallo, Dean Austen)
(Casey Giallo, Chapter 47)
(Casey Giallo, Chapter 28)
(Casey Giallo, Claire Underwood)
(Casey Giallo, Curtis Haas)
(Steve Travers, Steven Travers)
(Elizabeth Norment, Nancy Kaufberger)
(Elizabeth Norment, Season 1)
(Elizabeth Norment, House of Cards)
(Governor of Pennsylvania, Garrett Walker)
(Governor of Pennsylvania, Peter Russo)
(Governor of Pennsylvania, Jim Matthews)
(Governor of Pennsylvania, Frank Underwood)
(Elizabeth Marvel, Heather Dunbar)
(Elizabeth Marvel, Season 2)
(Elizabeth Marvel, Season 3)
(Elizabeth Marvel, House of Cards)
(Detective, Zoe Barnes)
(Detective, Lucas Goodwin)
(Francais Urquhart, Michael Dobbs)
(Francais Urquhart, Francis Urquhart)
(Francais Urquhart, Frank Underwood)
(Felicity Holburn, Washington, D.C.)
(Felicity Holburn, Underwood Family)
(Felicity Holburn, Clean Water Initiative)
(Felicity Holburn, Season 1)
(Felicity Holburn, Francie Swift)
(Felicity Holburn, Frank Underwood)
(Felicity Holburn, Claire Underwood)
(Felicity Holburn, Felicity Holburn/gallery)
(Felicity Holburn, Charles Holburn)
(Felicity Holburn, House of Cards)
(United States presidential inauguration, Garrett Walker)
(United States presidential inauguration, President of the United States)
(Ayla Sayyad, Washington, D.C.)
(Ayla Sayyad, Garrett Walker)
(Ayla Sayyad, Clayton West)
(Ayla Sayyad, Wall Street Telegraph)
(Ayla Sayyad, Season 2)
(Ayla Sayyad, Doug Stamper)
(Ayla Sayyad, Season 3)
(Ayla Sayyad, Xander Feng)
(Ayla Sayyad, Raymond Tusk)
(Ayla Sayyad, Frank Underwood)
(Ayla Sayyad, United States)
(Ayla Sayyad, Catherine Durant)
(Ayla Sayyad, Seth Grayson)
(Ayla Sayyad, Connor Ellis)
(Ayla Sayyad, Mozhan Marnò)
(Ayla Sayyad, Michael Corrigan)
(Rachel Brosnahan, Season 1)
(Rachel Brosnahan, Rachel Posner)
(Rachel Brosnahan, Season 2)
(Rachel Brosnahan, Season 3)
(Rachel Brosnahan, House of Cards)
(Henry Chapman, Washington, D.C.)
(Henry Chapman, Garrett Walker)
(Henry Chapman, Peter Russo)
(Henry Chapman, Christina Gallagher)
(Henry Chapman, Season 1)
(Chapter 32, Claire Underwood)
(Chapter 32, Michael Corrigan)
(Chapter 32, Frank Underwood)
(Wiki House of Cards, Main Page)
(Jean Tusk, Raymond Tusk)
(Jean Tusk, Season 1)
(Jean Tusk, Season 2)
(Jean Tusk, House of Cards)
(Chapter 14, Garrett Walker)
(Chapter 14, Edward Meechum)
(Chapter 14, Christina Gallagher)
(Chapter 14, Frank Underwood)
(Chapter 14, Claire Underwood)
(Chapter 14, Lucas Goodwin)
(Chapter 14, Peter Russo)
(Chapter 14, Vice President of the United States)
(Chapter 14, Jackie Sharp)
(Chapter 14, Linda Vasquez)
(Chapter 14, Zoe Barnes)
(Chapter 14, Gillian Cole)
(Chapter 14, Doug Stamper)
(Chapter 14, Rachel Posner)
(Chapter 14, Freddy Hayes)
(Chapter 14, Janine Skorsky)
(United States presidential election, 2008, United States presidential election, 2012)
(Chapter 28, Claire Underwood)
(Chapter 28, Frank Underwood)
(Chapter 35, Claire Underwood)
(Chapter 35, Chapter 35)
(Chapter 35, Robin Wright)
(Chapter 35, Frank Underwood)
(John McCain, Barack Hussein Obama)
(Donald Blythe, Washington, D.C.)
(Donald Blythe, Garrett Walker)
(Donald Blythe, United States House of Representatives)
(Donald Blythe, Season 2)
(Donald Blythe, Democratic Party (United States))
(Donald Blythe, Season 3)
(Donald Blythe, Frank Underwood)
(Donald Blythe, Zoe Barnes)
(Donald Blythe, Raymond Tusk)
(Donald Blythe, Vice President of the United States)
(Donald Blythe, Linda Vasquez)
(Donald Blythe, Washington Herald)
(Donald Blythe, Jackie Sharp)
(Donald Blythe, Season 1)
(Donald Blythe, Chapter 1)
(Donald Blythe, Reed Birney)
(Donald Blythe, Remy Danton)
(Donald Blythe, Season 4)
(Lindy Pants, Garrett Walker)
(Lindy Pants, Ruben Vasquez)
(Lindy Pants, Sakina Jaffrey)
(Lindy Pants, Season 2)
(Lindy Pants, Frank Underwood)
(Lindy Pants, United States order of precedence)
(Lindy Pants, Linda Vasquez)
(Lindy Pants, White House Chief of Staff)
(Lindy Pants, Gillian Cole)
(Lindy Pants, Season 1)
(Lindy Pants, Remy Danton)
(Lindy Pants, Linda Vasquez/gallery)
(Lindy Pants, House of Cards)
(Goverment Organizations, Government Organizations)
(Frank Underwood/gallery, Frank Underwood)
(Michael Dobbs, House of Cards (Novel))
(David Rasmussen, United States House of Representatives)
(David Rasmussen, Terry Womack)
(David Rasmussen, Chapter 4)
(David Rasmussen, Chapter 2)
(David Rasmussen, David Rasmussen/gallery)
(David Rasmussen, Frank Underwood)
(David Rasmussen, Season 1)
(David Rasmussen, Bob Birch)
(David Rasmussen, Leaders of the United States House of Representatives)
(Jamie Reed, Chapter 3)
(Jamie Reed, Gaffney)
(Jamie Reed, Frank Underwood)
(Character appearances, House of Cards)
(Dean Austen, Dean Austen)
(Dean Austen, Democratic Party (United States))
(Dean Austen, United States presidential election, 2016)
(Dean Austen, Frank Underwood)
(Incumbent, Garrett Walker)
(Presidency of Garrett Walker, Garrett Walker)
(Presidency of Garrett Walker, United States)
(Presidency of Garrett Walker, United States Secretary of State)
(Presidency of Garrett Walker, House Majority Whip)
(Presidency of Garrett Walker, Democratic Party (United States))
(Presidency of Garrett Walker, Frank Underwood)
(Presidency of Garrett Walker, Republican Party (United States))
(Presidency of Garrett Walker, President of the United States)
(Presidency of Garrett Walker, Peter Russo)
(Presidency of Garrett Walker, Vice President of the United States)
(Presidency of Garrett Walker, Linda Vasquez)
(Presidency of Garrett Walker, Catherine Durant)
(Presidency of Garrett Walker, List of Presidents of the United States)
(Presidency of Garrett Walker, Senate)
(Presidency of Garrett Walker, Michael Kern)
(Presidency of Garrett Walker, Jim Matthews)
(Phil Langdon, House of Cards)
(Phil Langdon, Season 1)
(Phil Langdon, Frank Underwood)
(Phil Langdon, The Sentinel)
(Phil Langdon, Ken Caswell)
(Phil Langdon, Tim Corbet)
(Democratic Party presidential primaries, 2016, Washington, D.C.)
(Democratic Party presidential primaries, 2016, Garrett Walker)
(Democratic Party presidential primaries, 2016, Doug Stamper)
(Democratic Party presidential primaries, 2016, Democratic Party (United States))
(Democratic Party presidential primaries, 2016, Frank Underwood)
(Democratic Party presidential primaries, 2016, Claire Underwood)
(Democratic Party presidential primaries, 2016, Lucas Goodwin)
(Democratic Party presidential primaries, 2016, Vice President of the United States)
(Democratic Party presidential primaries, 2016, Jackie Sharp)
(Democratic Party presidential primaries, 2016, Leaders of the United States House of Representatives)
(Democratic Party presidential primaries, 2016, Heather Dunbar)
(Democratic Party presidential primaries, 2016, Seth Grayson)
(Democratic Party presidential primaries, 2016, United States presidential election, 2016)
(Democratic Party presidential primaries, 2016, President of the United States)
(Claire Underwood, Elizabeth Hale)
(Claire Underwood, Season 2)
(Claire Underwood, CWI)
(Claire Underwood, Zoe Barnes)
(Claire Underwood, Claire Underwood/gallery)
(Claire Underwood, Edward Meechum)
(Claire Underwood, Patricia Walker)
(Claire Underwood, Thomas Yates)
(Claire Underwood, First Lady of the United States)
(Claire Underwood, Season 4)
(Claire Underwood, Dalton McGinnis)
(Claire Underwood, United States Secretary of State)
(Claire Underwood, United States)
(Claire Underwood, Clean Water Initiative)
(Claire Underwood, Season 3)
(Claire Underwood, Frank Underwood)
(Claire Underwood, Harvard University)
(Claire Underwood, Gillian Cole)
(Claire Underwood, Season 1)
(Claire Underwood, Robin Wright)
(Claire Underwood, Adam Galloway)
(Claire Underwood, House of Cards)
(Gaffney, Frank Underwood)
(Deep Web, Zoe Barnes)
(Deep Web, Lucas Goodwin)
(Deep Web, HEROnymous Bot)
(Deep Web, House of Cards)
(Chapter 19, Garrett Walker)
(Chapter 19, Lisa Williams)
(Chapter 19, Christina Gallagher)
(Chapter 19, Xander Feng)
(Chapter 19, Jackie Sharp)
(Chapter 19, Raymond Tusk)
(Chapter 19, Lucas Goodwin)
(Chapter 19, Frank Underwood)
(Chapter 19, Freddy's BBQ Joint)
(Chapter 19, Claire Underwood)
(Chapter 19, Patricia Walker)
(Chapter 19, Seth Grayson)
(Chapter 19, Doug Stamper)
(Chapter 19, Chapter 19)
(Chapter 19, Rachel Posner)
(Chapter 19, Janine Skorsky)
(Chapter 19, Remy Danton)
(Chapter 19, Freddy Hayes)
(Chapter 19, Tom Hammerschmidt)
(Tulane University, Catherine Durant)
(Gillian Cole/gallery, Gillian Cole)
(Samuel Page, Season 2)
(Samuel Page, Connor Ellis)
(Samuel Page, House of Cards)
(Cassie Lockhart, Season 3)
(Cassie Lockhart, Doug Stamper)
(Cassie Lockhart, Frank Underwood)
(Cassie Lockhart, Chapter 39)
(Cassie Lockhart, Rachel Posner)
(Cassie Lockhart, Saphire)
(Cassie Lockhart, Peter Russo)
(Viktor Petrov, Pussy Riot)
(Viktor Petrov, Alexi Moryakov)
(Viktor Petrov, Season 3)
(Viktor Petrov, Frank Underwood)
(Viktor Petrov, Claire Underwood)
(Viktor Petrov, Lars Mikkelsen)
(Viktor Petrov, President of the United States)
(Viktor Petrov, Season 4)
(Viktor Petrov, Michael Corrigan)
(Viktor Petrov, Jordan Valley)
(List of Presidents of the United States, United States presidential election, 2012)
(List of Presidents of the United States, Jimmy Carter)
(List of Presidents of the United States, Democratic Party (United States))
(List of Presidents of the United States, Garrett Walker)
(List of Presidents of the United States, Presidency of Garrett Walker)
(List of Presidents of the United States, Republican Party (United States))
(List of Presidents of the United States, United States House of Representatives)
(List of Presidents of the United States, Independent (politician))
(List of Presidents of the United States, Theodore Roosevelt)
(List of Presidents of the United States, George W. Bush)
(List of Presidents of the United States, Richard Nixon)
(List of Presidents of the United States, United States Secretary of State)
(List of Presidents of the United States, United States)
(List of Presidents of the United States, Ronald Reagan)
(List of Presidents of the United States, Al Gore)
(List of Presidents of the United States, Frank Underwood)
(List of Presidents of the United States, United States Senate)
(List of Presidents of the United States, President of the United States)
(List of Presidents of the United States, John F. Kennedy)
(List of Presidents of the United States, Vice President of the United States)
(List of Presidents of the United States, Lyndon B. Johnson)
(List of Presidents of the United States, Governor of Texas)
(List of Presidents of the United States, Gerald Ford)
(List of Presidents of the United States, Bill Clinton)
(List of Presidents of the United States, Donald Blythe)
(List of Presidents of the United States, Presidency of Frank Underwood)
(List of Presidents of the United States, Jim Matthews)
(List of Presidents of the United States, George H. W. Bush)
(Masters Family, Jessica Masters)
(Masters Family, Dean Masters)
(Masters Family, Leanne Masters)
(Hector Mendoza, Henry Mitchell)
(Hector Mendoza, United States)
(Hector Mendoza, Ronald Reagan)
(Hector Mendoza, 2016 Presidential Election)
(Hector Mendoza, Frank Underwood)
(Hector Mendoza, United States Senate)
(Hector Mendoza, Republican Party (United States))
(Hector Mendoza, Bob Birch)
(Hector Mendoza, Vice President of the United States)
(Hector Mendoza, Claire Underwood)
(Hector Mendoza, Senate)
(Hector Mendoza, Call of the house)
(Hector Mendoza, Curtis Haas)
(Presidency of Frank Underwood, America Works)
(Presidency of Frank Underwood, Xander Feng)
(Presidency of Frank Underwood, Eliana Caspi)
(Presidency of Frank Underwood, Season 2)
(Presidency of Frank Underwood, List of Presidents of the United States)
(Presidency of Frank Underwood, Democratic Party (United States))
(Presidency of Frank Underwood, United States Secretary of State)
(Presidency of Frank Underwood, Claire Underwood)
(Presidency of Frank Underwood, Raymond Tusk)
(Presidency of Frank Underwood, President of the United States)
