(Microsoft Office, Microsoft Office 2008)
(Font Book, Mac OS X)
(Font Book, Applications folder)
(Font Book, Mac OS X 10.3)
(IOS 8, OS X 10.10)
(IOS 8, Macintosh)
(Macbook Pro, MacBook Pro)
(PowerBook 3400, PowerBook 3400c)
(Macintosh Classic, System 6.0.7)
(Macintosh Classic, 1992)
(Macintosh Classic, Apple)
(Macintosh Classic, Macintosh Plus)
(Macintosh Classic, Macintosh SE)
(Macintosh Classic, 1990)
(Macintosh Classic, Mac OS 7.5.5)
(Application package, ResEdit)
(Application package, Mac OS X)
(Application package, Finder)
(Application package, Mac OS 9)
(Application package, Package First Aid)
(Home Page, Main Screen)
(Translation widget, Apple Inc.)
(Translation widget, Internet)
(Translation widget, Dashboard)
(Bill Atkinson, Apple Inc.)
(Bill Atkinson, MacPaint)
(Bill Atkinson, HyperCard)
(Bill Atkinson, Macintosh)
(Bill Atkinson, Jef Raskin)
(Bill Atkinson, 2002)
(Bill Atkinson, QuickDraw)
(Mac OS X 10.2.8 (G5), AirPort)
(Mac OS X 10.2.8 (G5), Power Macintosh G5)
(Mac OS X 10.2.8 (G5), Bluetooth)
(Mac OS X 10.2.8 (G5), Mac OS X 10.2.8 Build 6R73)
(Mac OS X 10.2.8 (G5), Kernel panic)
(Mac OS X 10.2.8 (G5), Mac OS X 10.2.7)
(Mac OS X 10.2.8 (G5), Classic environment)
(Mac OS X 10.2.8 (G5), FireWire)
(IPad, Apple Inc.)
(Security (System Preferences), System Preferences)
(Security (System Preferences), FileVault)
(Security (System Preferences), Mac OS X 10.3)
(Security (System Preferences), Macintosh)
(Security (System Preferences), Mac OS X 10.4)
(Security (System Preferences), Security)
(Macintosh Programmer's Workshop, Apple Inc.)
(Macintosh Programmer's Workshop, Unix)
(Macintosh Programmer's Workshop, Mac OS)
(Macintosh Programmer's Workshop, Macintosh)
(Macintosh Programmer's Workshop, Xcode)
(Macintosh Programmer's Workshop, Mac OS X)
(Developer Tools, Mac OS X)
(Developer Tools, Macintosh)
(Mac OS X Server Wiki, Mac OS X Server)
(Macintosh LC, Macintosh LC III)
(Macintosh LC, 1990)
(Macintosh LC, Macintosh)
(Macintosh LC, Macintosh Performa)
(Macintosh LC, Macintosh LC II)
(Empty Trash..., Trash)
(Empty Trash..., Mac OS 9.2.2)
(Empty Trash..., Get Info)
